"CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Telephone Number","Provider SSA County Code","County/Parish","Urban","Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote","Provider Type","Provider Resides in Hospital","Legal Business Name","Date First Approved to Provide Medicare and Medicaid Services","Chain Name","Chain ID","Number of Facilities in Chain","Chain Average Overall 5-star Rating","Chain Average Health Inspection Rating","Chain Average Staffing Rating","Chain Average QM Rating","Continuing Care Retirement Community","Special Focus Status","Abuse Icon","Most Recent Health Inspection More Than 2 Years Ago","Provider Changed Ownership in Last 12 Months","With a Resident and Family Council","Automatic Sprinkler Systems in All Required Areas","Overall Rating","Overall Rating Footnote","Health Inspection Rating","Health Inspection Rating Footnote","QM Rating","QM Rating Footnote","Long-Stay QM Rating","Long-Stay QM Rating Footnote","Short-Stay QM Rating","Short-Stay QM Rating Footnote","Staffing Rating","Staffing Rating Footnote","Reported Staffing Footnote","Physical Therapist Staffing Footnote","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Total nursing staff turnover footnote","Registered Nurse turnover","Registered Nurse turnover footnote","Number of administrators who have left the nursing home","Administrator turnover footnote","Nursing Case-Mix Index","Nursing Case-Mix Index Ratio","Case-Mix Nurse Aide Staffing Hours per Resident per Day","Case-Mix LPN Staffing Hours per Resident per Day","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Adjusted Nurse Aide Staffing Hours per Resident per Day","Adjusted LPN Staffing Hours per Resident per Day","Adjusted RN Staffing Hours per Resident per Day","Adjusted Total Nurse Staffing Hours per Resident per Day","Adjusted Weekend Total Nurse Staffing Hours per Resident per Day","Rating Cycle 1 Standard Survey Health Date","Rating Cycle 1 Total Number of Health Deficiencies","Rating Cycle 1 Number of Standard Health Deficiencies","Rating Cycle 1 Number of Complaint Health Deficiencies","Rating Cycle 1 Health Deficiency Score","Rating Cycle 1 Number of Health Revisits","Rating Cycle 1 Health Revisit Score","Rating Cycle 1 Total Health Score","Rating Cycle 2 Standard Health Survey Date","Rating Cycle 2/3 Total Number of Health Deficiencies","Rating Cycle 2 Number of Standard Health Deficiencies","Rating Cycle 2/3 Number of Complaint Health Deficiencies","Rating Cycle 2/3 Health Deficiency Score","Rating Cycle 2/3 Number of Health Revisits","Rating Cycle 2/3 Health Revisit Score","Rating Cycle 2/3 Total Health Score","Total Weighted Health Survey Score","Number of Facility Reported Incidents","Number of Substantiated Complaints","Number of Citations from Infection Control Inspections","Number of Fines","Total Amount of Fines in Dollars","Number of Payment Denials","Total Number of Penalties","Location","Latitude","Longitude","Geocoding Footnote","Processing Date"
"195210","WYNHOVEN COMMUNITY CARE CENTER","1050 MEDICAL CENTER","MARRERO","LA","70072","5043470777","250","Jefferson","Y",Non profit - Corporation,188,101.3,,Medicare and Medicaid,"N","COMMCARE CORPORATION",1987-01-22,COMMCARE CORPORATION,150,14,2.6,2.5,3.2,3.6,N,,N,N,N,Resident,Yes,1,,1,,4,,3,,5,,2,,,,2.61120,1.80256,0.27569,2.07825,4.68945,3.33483,0.10209,0.04900,72.1,,85.7,,1,,1.24573,0.90519,2.12516,0.78799,0.61853,3.53168,3.09979,2.86523,1.97792,0.30251,5.14565,3.65926,2025-04-17,12,12,1,227,1,0,227,2024-04-11,7,3,4,36,1,0,36,179.250,0,16,0,1,341880.00,0,1,"1050 MEDICAL CENTER,MARRERO,LA,70072",29.8924,-90.096,,2025-10-01
"195213","COURTYARD OF NATCHITOCHES","708 KEYSER AVENUE","NATCHITOCHES","LA","71457","3182144361","340","Natchitoches","N",Government - Hospital district,112,89.1,,Medicare and Medicaid,"Y","NATCHITOCHES PARISH HOSPITAL SERVICE DISTRICT",1987-01-30,,,,,,,,N,,Y,N,N,Resident,Yes,2,,2,,3,,1,,4,,4,,,,2.67273,0.98505,0.23475,1.21980,3.89253,3.26667,0.14646,0.02570,23.8,,,27,0,,1.15147,0.83669,1.96435,0.72836,0.57172,3.26444,2.86523,3.17283,1.16937,0.27868,4.62088,3.87790,2024-09-25,18,10,8,88,1,0,88,2023-08-16,13,10,3,64,1,0,64,82.000,3,17,,0,0.00,0,0,"708 KEYSER AVENUE,NATCHITOCHES,LA,71457",31.7532,-93.074,,2025-10-01
"195214","Ferncrest Manor Living Center","14500 Haynes Blvd.","New Orleans","LA","70128","5042461426","350","Orleans","Y",For profit - Limited Liability company,200,113.8,,Medicare and Medicaid,"N","PRESTIGE CARE LLC",1987-04-08,,,,,,,,N,,Y,N,N,Resident,Yes,1,,1,,2,,2,,,2,1,,,,1.58427,0.67667,0.25793,0.93461,2.51887,2.27441,0.06499,0.05052,58.3,,25.0,,,26,1.41038,1.02483,2.40605,0.89214,0.70028,3.99847,3.50950,1.53545,0.65582,0.24999,2.44126,2.20432,2025-05-29,20,12,8,144,1,0,144,2024-05-16,47,5,42,335,1,0,335,191.750,0,65,,3,402870.00,1,4,"14500 Haynes Blvd.,New Orleans,LA,70128",30.0516,-89.958,22,2025-10-01
"195220","HERITAGE MANOR OF SLIDELL","106 MEDICAL CENTER DRIVE","SLIDELL","LA","70461","9856430307","510","St. Tammany","Y",For profit - Limited Liability company,120,103.8,,Medicare and Medicaid,"N","HERITAGE MANOR OF SLIDELL LLC",1988-03-09,THE BEEBE FAMILY,779,48,2.7,3.1,3.1,1.8,N,,N,N,N,Resident,Yes,4,,4,,3,,4,,2,,3,,,,2.19830,1.03621,0.34013,1.37634,3.57464,2.90357,0.26253,0.05186,51.8,,22.2,,0,,1.26882,0.92197,2.16455,0.80260,0.62999,3.59714,3.15724,2.36827,1.11632,0.36643,3.85102,3.12807,2024-08-07,8,6,4,36,1,0,36,2023-09-27,5,2,3,40,1,0,40,37.000,2,10,,1,11333.00,0,1,"106 MEDICAL CENTER DRIVE,SLIDELL,LA,70461",30.2874,-89.744,,2025-10-01
"195221","ORMOND NURSING & CARE CENTER","22 PLANTATION ROAD","DESTREHAN","LA","70047","9857641793","440","St. Charles","Y",For profit - Limited Liability company,146,94.6,,Medicare and Medicaid,"N","COMMUNITY CARE CENTER OF DESTREHAN, LLC",1988-04-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,2,,2,,1,,2,,,,2.15630,1.03359,0.17208,1.20567,3.36197,2.80792,0.10928,0.02225,50.5,,,27,0,,1.13263,0.82300,1.93221,0.71645,0.56237,3.21103,2.81835,2.60234,1.24740,0.20768,4.05742,3.38876,2025-07-23,3,2,1,12,1,0,12,2024-07-17,4,2,2,16,1,0,16,13.000,0,10,,0,0.00,0,0,"22 PLANTATION ROAD,DESTREHAN,LA,70047",29.9746,-90.379,,2025-10-01
"195247","Adira Medical Resort","4405 Airline Drive","Bossier City","LA","71111","3187475440","070","Bossier","Y",For profit - Limited Liability company,77,27.0,,Medicare,"N","4405 AIRLINE DRIVE OPCO LLC",1990-01-09,,,,,,,,N,,N,N,N,Resident,Yes,1,,1,,1,,1,,1,,3,,,,1.92135,1.61523,0.54784,2.16308,4.08442,3.74096,0.53103,0.12629,78.9,,77.8,,1,,1.31675,0.95679,2.24632,0.83292,0.65379,3.73303,3.27651,1.99455,1.67677,0.56872,4.24004,3.88349,2024-10-17,25,14,11,261,1,0,261,2023-10-04,8,4,4,52,1,0,52,208.750,2,36,,0,0.00,0,0,"4405 Airline Drive,Bossier City,LA,71111",32.5793,-93.714,,2025-10-01
"195249","LEGACY NURSING AND REHABILITATION OF POLLOCK","8275 HIGHWAY 165","POLLOCK","LA","71467","3187653557","210","Grant","Y",For profit - Limited Liability company,103,84.2,,Medicare and Medicaid,"N","WOODS HAVEN NURSING CARE & REHABILITATION",1990-02-13,,,,,,,,N,,N,N,N,Resident,Yes,1,,2,,1,,1,,1,,2,,,,2.11004,1.10151,0.19106,1.29257,3.40261,2.76976,0.10214,0.02979,51.9,,20.0,,0,,1.33015,0.96653,2.26917,0.84139,0.66044,3.77099,3.30984,2.16838,1.13196,0.19635,3.49669,2.84634,2024-07-24,12,6,6,76,1,0,76,2023-05-17,8,3,5,153,1,0,153,95.250,2,22,,1,13020.00,0,1,"8275 HIGHWAY 165,POLLOCK,LA,71467",31.5129,-92.41,,2025-10-01
"195258","GRACE NURSING HOME","1181 HWY 19","SLAUGHTER","LA","70777","2253060030","180","East Feliciana","Y",For profit - Corporation,128,119.6,,Medicare and Medicaid,"N","GRACE NURSING HOME INC",1990-07-26,,,,,,,,N,,Y,N,N,Resident,Yes,2,,2,,2,,1,,3,,2,,,,2.19090,0.94296,0.11298,1.05594,3.24684,2.70707,0.08026,0.04340,44.3,,,27,0,,1.19027,0.86489,2.03054,0.75291,0.59099,3.37443,2.96177,2.51607,1.08291,0.12975,3.72873,3.10885,2024-10-16,13,9,4,72,1,0,72,2023-09-11,22,12,11,219,2,110,329,136.250,0,31,,3,68262.00,0,3,"1181 HWY 19,SLAUGHTER,LA,70777",30.7268,-91.141,,2025-10-01
"195265","HAVEN NURSING CENTER","7726 US HWY. 165","COLUMBIA","LA","71418","3186499800","100","Caldwell","N",For profit - Corporation,99,76.6,,Medicare and Medicaid,"N","HAVEN NURSING CENTER, INC",1991-03-22,,,,,,,,N,,N,N,N,Resident,Yes,3,,4,,3,,2,,4,,1,24,,,0.38194,0.17125,0.00000,0.17125,0.55319,0.68067,0.00000,0.00000,,26,,26,,26,1.22396,0.88937,2.08802,0.77422,0.60772,3.46995,3.04561,0.42656,0.19125,0.00000,0.61781,0.76018,2025-05-07,5,5,0,32,1,0,32,2024-04-23,5,3,2,32,1,0,32,32.000,1,3,,0,0.00,0,0,"7726 US HWY. 165,COLUMBIA,LA,71418",32.0836,-92.092,,2025-10-01
"195272","Jefferson Healthcare Center","2200 Jefferson Hwy","Jefferson","LA","70121","5048373144","250","Jefferson","Y",For profit - Limited Liability company,222,168.8,,Medicare and Medicaid,"N","JEFFERSON HEALTHCARE CENTER LLC",1992-07-01,PLANTATION MANAGEMENT COMPANY,406,16,1.6,2.2,1.3,1.8,N,,N,N,N,Resident,Yes,1,,1,,2,,2,,2,,1,,,,1.99680,1.10394,0.10292,1.20686,3.20365,2.65907,0.06823,0.00000,60.0,,60.0,,1,,1.24485,0.90455,2.12366,0.78743,0.61809,3.52918,3.09760,2.19260,1.21219,0.11301,3.51781,2.91983,2025-05-01,22,16,6,108,2,54,162,2024-04-18,22,6,18,425,1,0,425,227.750,6,106,0,3,74379.00,1,4,"2200 Jefferson Hwy,Jefferson,LA,70121",29.963,-90.151,,2025-10-01
"195275","Audubon Health and Rehab","2110 AUDUBON AVENUE","THIBODAUX","LA","70301","9854463109","280","Lafourche","Y",For profit - Limited Liability company,172,115.4,,Medicare and Medicaid,"N","COMMUNITY CARE CENTER OF THIBODAUX LLC",1992-10-01,THE BEEBE FAMILY,779,48,2.7,3.1,3.1,1.8,N,,N,N,N,Resident,Yes,5,,5,,2,,3,,1,,3,,,,2.25506,1.10276,0.24101,1.34377,3.59883,3.18240,0.12568,0.01205,18.0,,14.3,,0,,1.26137,0.91655,2.15183,0.79788,0.62629,3.57600,3.13869,2.44378,1.19504,0.26118,3.90000,3.44873,2024-09-25,2,2,0,8,1,0,8,2023-09-28,7,6,1,36,1,0,36,15.000,0,4,,0,0.00,0,0,"2110 AUDUBON AVENUE,THIBODAUX,LA,70301",29.7812,-90.809,,2025-10-01
"195278","Metairie Health Care Center","6401 RIVERSIDE DRIVE","METAIRIE","LA","70003","5048858611","250","Jefferson","Y",For profit - Limited Liability company,202,94.9,,Medicare and Medicaid,"N","METAIRIE OPERATIONS LLC",1993-07-14,INSPIRED HEALTHCARE MANAGEMENT,286,6,1.5,2.0,2.8,1.2,N,,N,N,N,Resident,Yes,1,,1,,2,,1,,3,,2,,,,2.37025,1.21957,0.13795,1.35752,3.72776,3.16892,0.10712,0.05483,43.5,,60.0,,1,,1.27942,0.92966,2.18262,0.80930,0.63525,3.62717,3.18360,2.53237,1.30298,0.14739,3.98273,3.38566,2024-12-19,19,14,5,309,2,155,464,2024-01-26,9,9,0,56,2,28,84,369.000,0,13,,2,132895.00,1,3,"6401 RIVERSIDE DRIVE,METAIRIE,LA,70003",30.0092,-90.215,,2025-10-01
"195279","HERITAGE MANOR OF MANDEVILLE","1820 W. CAUSEWAY APPROACH","MANDEVILLE","LA","70471","9856264798","510","St. Tammany","Y",For profit - Limited Liability company,145,110.9,,Medicare and Medicaid,"N","COMMUNITY CARE CENTER OF MANDEVILLE LLC",1993-08-05,THE BEEBE FAMILY,779,48,2.7,3.1,3.1,1.8,N,,N,N,N,Both,Yes,2,,3,,1,,2,,1,,3,,,,2.29401,1.02920,0.38390,1.41309,3.70711,3.14055,0.19099,0.04715,54.6,,20.0,,,26,1.19382,0.86747,2.03660,0.75515,0.59275,3.38451,2.97061,2.62665,1.17843,0.43956,4.24464,3.59593,2024-10-09,11,11,7,52,1,0,52,2023-11-01,11,1,10,88,1,0,88,61.000,8,26,0,1,9318.00,0,1,"1820 W. CAUSEWAY APPROACH,MANDEVILLE,LA,70471",30.396,-90.104,,2025-10-01
"195281","MEADOWVIEW HEALTH & REHAB CENTER","400 MEADOWVIEW DRIVE","MINDEN","LA","71055","3183771011","590","Webster","N",For profit - Corporation,182,117.2,,Medicare and Medicaid,"N","NEXION HEALTH AT MINDEN, INC.",1993-09-24,NEXION HEALTH,370,52,2.5,2.6,2.8,2.8,N,,N,N,N,Resident,Yes,3,,3,,2,,3,,1,,3,,,,2.16208,1.45300,0.34174,1.79473,3.95681,3.31927,0.17916,0.02053,53.5,,36.4,,1,,1.30482,0.94812,2.22596,0.82536,0.64786,3.69918,3.24681,2.26499,1.52216,0.35800,4.14515,3.47726,2024-05-15,10,6,4,64,1,0,64,2023-06-07,13,4,9,80,1,0,80,68.000,7,25,,1,7601.00,0,1,"400 MEADOWVIEW DRIVE,MINDEN,LA,71055",32.6202,-93.273,,2025-10-01
"195297","Pontchartrain Health Care Center","1401 Highway 190","Mandeville","LA","70448","9856268581","510","St. Tammany","Y",For profit - Corporation,182,109.0,,Medicare and Medicaid,"N","PONTCHARTRAIN GUEST HOUSE INC",1994-09-01,INSPIRED HEALTHCARE MANAGEMENT,286,6,1.5,2.0,2.8,1.2,N,,N,N,N,Resident,Yes,1,,1,,1,,1,,1,,3,,,,2.56925,1.20699,0.22314,1.43013,3.99938,3.57564,0.17592,0.09024,53.7,,40.0,,0,,1.26012,0.91564,2.14970,0.79709,0.62567,3.57246,3.13558,2.78702,1.30929,0.24206,4.33837,3.87870,2025-06-13,22,11,11,429,1,0,429,2024-05-08,13,10,12,100,1,0,100,346.750,0,50,,1,146520.00,0,1,"1401 Highway 190,Mandeville,LA,70448",30.3995,-90.087,,2025-10-01
"195301","GREENBRIAR COMMUNITY CARE CENTER","505 ROBERT BLVD.","SLIDELL","LA","70458","9856436900","510","St. Tammany","Y",Non profit - Corporation,174,156.6,,Medicare and Medicaid,"N","COMMCARE CORPORATION",1994-12-01,COMMCARE CORPORATION,150,14,2.6,2.5,3.2,3.6,N,,N,N,N,Resident,Yes,3,,3,,3,,4,,3,,4,,,,2.68709,1.33964,0.36399,1.70363,4.39073,3.35999,0.14328,0.05089,40.5,,28.6,,0,,1.23951,0.90067,2.11455,0.78406,0.61544,3.51405,3.08431,2.96330,1.47735,0.40141,4.84205,3.70537,2024-09-16,9,5,4,48,1,0,48,2023-10-25,7,4,3,52,1,0,52,49.000,0,17,2,0,0.00,0,0,"505 ROBERT BLVD.,SLIDELL,LA,70458",30.299,-89.759,,2025-10-01
"195302","TRINITY TRACE COMMUNITY CARE CENTER","612 HOLY TRINITY DRIVE","COVINGTON","LA","70433","9856435630","510","St. Tammany","Y",Non profit - Corporation,116,107.7,,Medicare and Medicaid,"N","COMMCARE CORPORATION",1994-12-01,COMMCARE CORPORATION,150,14,2.6,2.5,3.2,3.6,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,3,,3,,,,2.77533,1.21301,0.29309,1.50610,4.28143,3.26108,0.14684,0.06847,58.2,,28.6,,1,,1.15853,0.84182,1.97639,0.73283,0.57523,3.28445,2.88279,3.27456,1.43120,0.34582,5.05158,3.84769,2024-09-25,5,3,2,32,1,0,32,2023-08-30,5,3,2,20,1,0,20,29.000,0,15,0,0,0.00,0,0,"612 HOLY TRINITY DRIVE,COVINGTON,LA,70433",30.4114,-90.072,,2025-10-01
