Facility Type,OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Phone,Admin Name,Admin Phone,Facility Email,Fac. Cont. Email,License,Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Care,Alzheimer Unit,NH Beds,Institutional NH Beds,Number of Licensed Beds,Medical Detox Beds,RTP Beds (PSAD),Social Detox Beds,x,y
Adult Day Care Facilities,10811,BETHEL SENIOR DAY CARE CENTER,218 W DR LM ROSEMOND LN,GAFFNEY,SC,29340-3144,864-489-7552,"SANDERS, JAMES W., JR.",864-489-7552,DRSANDERS1@CHARTER.NET,JWSJR16@IWON.COM,ADC-0153,11/30/2025,Cherokee / Corporation,PO BOX 44,GAFFNEY,SC,29342-0044,BETHEL SENIOR DAY CARE CENTER INC,,,,,,,,,441090.106,3881292.842
Adult Day Care Facilities,10812,RUTH LOUIS ADULT HEALTH DAY CARE #2,111 E MILL ST,KINGSTREE,SC,29556-3427,843-355-2333,"NESMITH, PEARL",843-221-5848,RUTHLOUISADC@FTC-I.NET,RUTHLOUISADC@FTC-I.NET,ADC-0250,12/31/2025,Williamsburg / Non-Profit Corporation,111 E MILL ST,KINGSTREE,SC,29556-3427,RUTH LOUIS ADULT HEALTH DAY CARE INC,,,,,,,,,608462.503,3725676.224
Adult Day Care Facilities,10813,AGING GRACEFULLY SENIOR CARE/GRACEFUL EMBRACE DEVELOPMENTAL DAY PROGRAM,4003 LADSON RD,LADSON,SC,29456-4936,843-873-5121,"MCKENZIE, ANGELA I.",843-873-5121,ANGELAMCKENZIE2018@GMAIL.COM,ANGELAMCKENZIE2018@GMAIL.COM,ADC-0249,12/31/2025,Dorchester / Limited Liability,4003 LADSON RD,LADSON,SC,29456-4936,AGING GRACEFULLY SENIOR CARE SERVICES LLC,,,,,,,,,580138.73,3648334.994
Adult Day Care Facilities,10814,BRANCO ADULT DAYCARE CENTER,248 COMMERCE ST,MANNING,SC,29102-2637,803-435-9780,"WITHERSPOON, ANGELA D.",803-435-9780,BRANCOAW@YAHOO.COM,BRANACOAW@YAHOO.COM,ADC-0253,04/30/2026,Clarendon / Ltd. Liability,238 COMMERCE ST,MANNING,SC,29102-2637,BRANCO ADULT DAYCARE CENTER LLC,,,,,,,,,571709.041,3728431.927
Adult Day Care Facilities,10815,OMNIPRESENT ADULT DAY CARE,696 DAVIS ST,LAMAR,SC,29069-9132,843-326-5042,"WRIGHT, JACQUELINE",843-326-5042,JDWRIGHT7@BELLSOUTH.NET,JDWRIGHT7@BELLSOUTH.NET,ADC-0256,06/30/2026,Darlington / Corporation,PO BOX 1064,LAMAR,SC,29069-1064,WES CORPORATION INC,,,,,,,,,583674.17,3779628.529
Adult Day Care Facilities,10816,ADULT ENRICHMENT CENTERS OF YORK,3 S PACIFIC AVE,YORK,SC,29745-1607,803-684-1361,"KRIEGSHAUSER, SAMANTHA",803-327-7448,CASSANDRA@AECENTERS.ORG,SAMANTHAK@AECENTERS.ORG,ADC-0260,12/31/2025,York / Corporation,359 PARK AVE,ROCK HILL,SC,29730-4025,YORK COUNTY ADULT DAY CARE SERVICES INC,,,,,,,,,479755.869,3871798.604
Adult Day Care Facilities,10817,CHAPPELL ADULT CARE LLC,4340 JACKSON CREEK RD,WINNSBORO,SC,29180-7800,803-712-0146,"CHAPPELL, MALISSA",803-712-0146,CHAPPELLDAYCARE@GMAIL.COM,CHAPPELLDAYCARE@GMAIL.COM,ADC-0261,12/31/2026,Fairfield / Limited Liability,4340 JACKSON CREEK RD,WINNSBORO,SC,29180-7800,CHAPPELL ADULT CARE LLC,,,,,,,,,483909.322,3798076.801
Adult Day Care Facilities,10818,GINGER'S ADULT DAY CARE,401 W MARTINTOWN RD STE 201,NORTH AUGUSTA,SC,29841-6130,803-279-7822,"SIMPKINS, ALVERNEQ H.",803-279-7822,HATTAE25@HOTMAIL.COM,HATTAE25@HOTMAIL.COM,ADC-0273,06/30/2026,Aiken / Ltd. Liability,401 W MARTINTOWN RD STE 201,NORTH AUGUSTA,SC,29841-6130,GINGER'S ADULT DAY CARE LLC,,,,,,,,,409895.089,3708128.476
Adult Day Care Facilities,10819,PRECIOUS ADULT CARE,121 FAGAN RD,WINNSBORO,SC,29180-9584,803-635-3755,"BATES, SHARON J.",803-635-3755,PRECIOUSADULTDC@AOL.COM,PRECIOUSADULTDC@AOL.COM,ADC-0173,10/31/2026,Fairfield / Corporation,121 FAGAN RD,WINNSBORO,SC,29180-9584,PRECIOUS ADULT DAY CARE INC,,,,,,,,,492723.426,3802174.737
Adult Day Care Facilities,10823,SHANDON DAY HEALTH CENTER,1100 SHIRLEY ST,COLUMBIA,SC,29203,803-252-1979,"MALATESTA, SARAH",803-252-1979,ALISON.BURNETTE2@PRISMAHEALTH.ORG,,ADC-0136,02/28/2026,Richland / Limited Liability,1100 SHIRLEY ST,COLUMBIA,SC,29205-1370,PRISMA HEALTH-MIDLANDS,,,,,,,,,500092.369,3762457.847
Adult Day Care Facilities,10827,TRI-COUNTY ADULT DAY HEALTH SERVICES,169 CALVARY RD,CHERAW,SC,29520-7106,843-921-9451,"SCOTT, CAROLYN E.",843-921-9451,CSCOTT@TRICOUNTYADULT.COM,CSCOTT@TRICOUNTYADULT.COM,ADC-0282,01/31/2026,Chesterfield / Corporation,PO BOX 186,CHERAW,SC,29520-0186,TRI-COUNTY ADULT DAY SERVICES INC,,,,,,,,,598161.874,3839862.474
Adult Day Care Facilities,11603,MAGNOLIA ADULT DAY CENTER,20 S MAGNOLIA ST,SUMTER,SC,29150-5243,803-778-1086,"GREENE, CARL",803-934-9319,MAGNOLIADAYCENTER@GMAIL.COM,GREENESRESIDENTIALCARE@GMAIL.COM,ADC-0285,10/31/2025,Sumter / Limited Liability,142 PERKINS AVE,SUMTER,SC,29150-6829,MAGNOLIA ADULT DAY CENTER LLC,,,,,,,,,561208.515,3753349.34
Adult Day Care Facilities,11604,DENT ALTERNATIVE ADULT DAY CARE HEALTH CENTER,7351 PARKLANE RD,COLUMBIA,SC,29223-7651,803-708-8955,PH#:,,BERTHADENT55@YAHOO.COM,,ADC-0284,10/31/2026,Richland / Partnership,7351 PARKLANE RD,COLUMBIA,SC,29223-7651,BERTHA H DENT AND ERIC R DENT,,,,,,,,,503753.109,3770176.914
Adult Day Care Facilities,11609,SEA ISLAND ADULT DAY CENTER,3627 MAYBANK HWY,JOHNS ISLAND,SC,29455-4825,843-559-9901,"BURTON, LEON L.",843-559-9901,LEON@SICHCC.ORG,LEON@SICHCC.ORG,ADC-0286,11/30/2026,Charleston / Non-Profit Corporation,3627 MAYBANK HWY,JOHNS ISLAND,SC,29455-4825,SEA ISLAND COMPREHENSIVE HEALTH CARE CORPORATION,,,,,,,,,586008.215,3620430.51
Adult Day Care Facilities,11612,MEMORY MATTERS,117 WILLIAM HILTON PKWY STE A,HILTON HEAD ISLAND,SC,29926-5207,843-842-6688,"HORNER, JILL",843-842-6688,INFO@MYMEMORYMATTERS.ORG,,ADC-0291,12/31/2025,Beaufort / Charitable,PO BOX 22330,HILTON HEAD ISLAND,SC,29925-2330,MEMORY MATTERS,,,,,,,,,522955.95,3564584.287
Adult Day Care Facilities,11634,ADULT DAYCARE 41,1572 HWY 41,MOUNT PLEASANT,SC,29466,843-856-4203,"HABERSHAM, CAROLINE C.",843-856-4203,ADULTDAYCARE41@ATT.NET,ADULTDAYCARE41@ATT.NET,ADC-0301,03/31/2026,Charleston / Limited Liability,1572 HWY 41,MOUNT PLEASANT,SC,29466,ADULT DAY CARE 41 LLC,,,,,,,,,611455.292,3638601.634
Adult Day Care Facilities,11666,CANAAN LAND COMMUNITY DEVELOPMENT CENTER,428 AMERICAN LEGION RD,MARION,SC,29571,843-430-0495,"MCKELVY, DESSIE B.",843-430-0495,MCKELVYJ7@AOL.COM,MCKELVYJ7@AOL.COM,ADC-0330,10/31/2026,Marion / Corporation,,,,,CANAAN LAND COMMUNITY DEVELOPMENT CENTER INC,,,,,,,,,650576.841,3782877.705
Adult Day Care Facilities,11711,H ALTON BOYD SENIOR CENTER,484 NELSON BLVD,KINGSTREE,SC,29556-4025,843-372-5104,"MITCHELL, VICKIE B.",843-355-2420,VICKIEMITCHELL55@YAHOO.COM,,ADC-0299,01/31/2026,Williamsburg / Limited Liability,484 NELSON BLVD,KINGSTREE,SC,29556-4025,H ALTON BOYD SENIOR CENTER LLC,,,,,,,,,609283.82,3725043.38
Adult Day Care Facilities,11813,DAILY LIVING LLC,1307 N LONGSTREET ST,KINGSTREE,SC,29556-2739,843-401-4295,"WILLIAMS, DOMONIQUE",843-206-9042,DAILYLIVINGLLC@YAHOO.COM,DAILYLIVINGLLC@YAHOO.COM,ADC-0325,09/30/2026,Williamsburg / Limited Liability,,,,,DAILY LIVING ADC LLC,,,,,,,,,608494.263,3727340.545
Adult Day Care Facilities,11820,ANGELIC ADULT DAY CARE,140 4TH AVE,GAFFNEY,SC,29340,864-489-1288,"SMTIH, CATRINA",864-489-1288,CATRINASP@GMAIL.COM,,ADC-0309,03/31/2026,Cherokee / Limited Liability,140 4TH AVE,GAFFNEY,SC,29341,ANGELIC SERVICES INC,,,,,,,,,442147.588,3882626.045
Adult Day Care Facilities,12098,CAPITAL HEALTH SERVICE ADULT DAYCARE,526 S MAIN ST,SIMPSONVILLE,SC,29681-3220,864-228-3604,"HEWINS, MONICA",864-228-3604,CAPITALHS@YMAIL.COM,CAPITALHS@YMAIL.COM,ADC-0400,11/30/2026,Greenville / Limited Liability,526 S MAIN ST,SIMPSONVILLE,SC,29681-3220,CAPITAL HEALTH SERVICE LLC,,,,,,,,,385053.239,3843224.096
Adult Day Care Facilities,12100,MOTHER DEVEAUX ADULT DAY CARE,528 MAIN ST,EASTOVER,SC,29044-9701,803-353-8475,"DEVEAUX, CASSANDRA",803-353-8475,CDEVEAUX@MDADC.ORG,CDEVEAUX@MDADC.ORG,ADC-0401,07/31/2026,Richland / Corporation,528 MAIN ST,EASTOVER,SC,29044-9701,MOTHER DEVEAUX ADULT DAY CARE,,,,,,,,,528142.279,3748597.078
Adult Day Care Facilities,12115,ELITE DAY CENTER OF SPARTANBURG,2000 BUD ARTHUR BRIDGE RD,SPARTANBURG,SC,29307-4417,864-869-8730,"PAINTER, GWENDOLYN P.",864-529-9849,CARLA.WHITE@ELITEHOMECARESC.COM,ADMINISTRATOR.SPARTANBURG@ELITEHOMECARE,ADC-0406,05/31/2026,Spartanburg / Limited Liability,2000 BUD ARTHUR BRIDGE RD,SPARTANBURG,SC,29307-4417,ELITE HOMECARE,,,,,,,,,421462.234,3874844.589
Adult Day Care Facilities,12228,ACTIVE DAY OF BOILING SPRINGS,230 GILES DR,BOILING SPRINGS,SC,29316-6036,864-599-7342,"MIMS, ANDREA",864-599-7342,SCADMIN@ACTIVEDAY.COM,,ADC-0413,10/31/2026,Spartanburg / Corporation,,,,,ACTIVE SC ONE INC,,,,,,,,,410777.886,3877644.383
Adult Day Care Facilities,12310,CENTRAL MIDLANDS ADULT DAY CENTER,500 MILLER RD,SUMTER,SC,29150-3332,803-436-2800,"WEBB-PRINCE, CAROLYN",843-436-2800,CENTRALMIDLANDSADC12@YAHOO.COM,CAROLYNWEBBPRINCE@YAHOO.COM,ADC-0424,10/31/2026,Sumter / Limited Liability,500 MILLER RD,SUMTER,SC,29150-3332,CENTRAL MIDLANDS ADULT DAY CENTER LLC,,,,,,,,,558626.187,3755136.491
Adult Day Care Facilities,12343,TRIPLE E ADULT DAY CARE #3,286 WATER ST,ALLENDALE,SC,29810-3512,803-584-5989,"GRANT, ARETHA",803-584-5989,LCREECH16@GMAIL.COM,LCREECH16@GMAIL.COM,ADC-0430,07/31/2026,Allendale / Sole Proprietorship,,,,,"CREECH, LAUREN",,,,,,,,,470829.016,3652349.262
Adult Day Care Facilities,12357,PRISMA HEALTH SENIORCARE PACE - UPSTATE,32 CENTENNIAL WAY,GREENVILLE,SC,29605-4628,864-522-1964,"ABERCROMBIE, ASHLEY, RN.",864-552-1964,ASHLEY.ABERCROMBIE3@PRISMAHEALTH.ORG,,ADC-0431,08/31/2026,Greenville / Corporation,300 E MCBEE AVE STE 402,GREENVILLE,SC,29601-2890,PRISMA HEALTH - UPSTATE,,,,,,,,,370436.856,3853127.401
Adult Day Care Facilities,12364,SERENITY DAY PROGRAM,448 N MAIN ST,SUMTER,SC,29150,803-938-5837,"GREENE, SHIRLEY H.",803-934-6036,SERENITYDAYPROGRAM@GMAIL.COM,SERENITYDAYPROGRAM@GMAIL.COM,ADC-0433,08/31/2026,Sumter / Limited Liability,142 PERKINS AVENUE,SUMTER,SC,29150,SERENITY DAY PROGRAM LLC,,,,,,,,,560787.665,3754559.511
Adult Day Care Facilities,12394,ELITE DAY CENTER OF GREENVILLE,211 VILLAGE DR,GREER,SC,29651-1238,864-256-3422,"MOREHOUSE, BRIGITTE",864-256-3422,ADMINISTRATOR.GREER@ELITEHOMECARESC.COM,,ADC-0437,07/31/2026,Greenville / Limited Liability,,,,,ELITE HOMECARE LLC,,,,,,,,,387279.234,3868431.083
Adult Day Care Facilities,12419,PALMETTO OAKS ADULT DAY HEALTH CENTER,6074 SAINT ANDREWS RD,COLUMBIA,SC,29212,803-881-0068,"STUBBS, DOREEN",803-881-0068,MSWYGERT@PALMETTOOAKSADHC.COM,DSTUBBS@PALMETTOOAKSADHC.COM,ADC-0440,03/31/2026,Richland / Limited Liability,,,,,PALMETTO OAKS ADULT DAY HEALTH CENTER LLC,,,,,,,,,485333.989,3768175.739
Adult Day Care Facilities,12430,ALICE'S CLUBHOUSE MT P,1156 BOWMAN ROAD #105,MOUNT PLEASANT,SC,29464,843-452-7791,"WESTERMAN, LISA",843-452-7791,DAVRUTICK@GMAIL.COM,,ADC-0441,03/31/2026,Charleston /,28 GIBBES ST,CHARLESTON,SC,29401,ALICE'S CLUBHOUSE MT P LLC,,,,,,,,,607599.889,3630781.273
Adult Day Care Facilities,12441,3 GENERATIONS ADULT DAY CARE,4214 HARDSCRABBLE RD,COLUMBIA,SC,29223-8559,803-546-9942,"MCCLELLAN, MARY MILLER",803-546-9942,LADYMM1@BELLSOUTH.NET,LADYMM1@BELLSOUTH.NET,ADC-0443,03/31/2026,Richland / Limited Liability,,,,,3 GENEREATIONS ADULT DAY CARE LLC,,,,,,,,,507841.493,3777364.059
Adult Day Care Facilities,12457,ELITE DAY CENTER OF LAURENS,311 N HARPER ST,LAURENS,SC,29360,864-869-8730,"LOLLIS, ASHLEY",864-416-4909,CARLA.WHITE@ELITEHOMECARESC.COM,ADMINISTRATOR.LAURENS@ELITEHOMECARE,ADC-0445,08/31/2026,Laurens / Limited Liability,,,,,ELITE HOMECARE LLC,,,,,,,,,406987.358,3818138.613
Adult Day Care Facilities,12528,TROY-JOHNSON INTERGENERATIONAL DAYCARE,106 GAPWAY ST,MULLINS,SC,29574-3010,843-464-8565,"TROY-JOHNSON, JACQUELYN",843-464-8565,JTROYJOHNS@AOL.COM,JTROYJOHNS@AOL.COM,ADC-0451,05/31/2026,Marion / Corporation,,,,,TROY-JOHNSON INTERGENERATIONAL DAYCARE INC,,,,,,,,,660392.825,3786166.984
Adult Day Care Facilities,12635,WRIGHT PLACE,3800 COVENANT RD,COLUMBIA,SC,29204,864-384-8573,"WRIGHT, MICHAEL, JR.",,ADMIN@TWPLACE.COM,,ADC-0459,02/28/2026,Richland / Limited Liability,,,,,THE WRIGHT PLACE LLC,,,,,,,,,501808.213,3765797.472
Adult Day Care Facilities,12637,2ND INNING DAYCARE,100 BUSINESS PKWY A-C,PIEDMONT,SC,29673,864-558-1030,"PATEL, BRIJESH",848-209-6868,SECONDINNING29673@GMAIL.COM,2NDINNINGDAYCARE@GMAIL.COM,ADC-0460,06/30/2026,Anderson / Limited Liability,,,,,OM HARI LLC,,,,,,,,,365287.807,3850236.508
Adult Day Care Facilities,12684,DAILY LIVING ADC OF FLORENCE LLC,500 PAMPLICO HWY STE F,FLORENCE,SC,29505,843-799-5868,"WILLIAMS, DOMONIQUE",843-206-9042,DAILYLIVINGLLC@YAHOO.COM,DAILYLIVINGLLC@YAHOO.COM,ADC-0463,06/30/2026,Florence / Limited Liability,,,,,DAILY LIVING ADC OF FLORENCE LLC,,,,,,,,,614351.857,3780809.519
Adult Day Care Facilities,12750,CLUB HORIZONS OF CHARLESTON,8088 RIVERS AVE,NORTH CHARLESTON,SC,29406-9235,843-992-0955,"WEEKS, BRANDY",843-992-0955,CONTRACTS@ACTIVEDAY.COM,,ADC-0454,02/28/2026,Charleston / Corporation,,,,,ACTIVE SC ONE INC,,,,,,,,,589546.212,3646658.73
Adult Day Care Facilities,12806,ELITE DAY CENTER OF PICKENS,317 SUMMIT DR,LIBERTY,SC,29657,864-869-8730,"SMITH, HEATHER",803-499-7815,ADMINISTRATOR.PICKENS@ELITEHOMECARESC.CO,,ADC-0466,03/31/2026,Pickens / Limited Liability,,,,,ELITE HOMECARE LLC,,,,,,,,,343645.483,3850830.228
