License/Exemption Number,Facility/Camp Name,Facility/Camp License Type,Facility Address,City,County,Phone,Zip Code,Capacity
AS820414523,A Senior Promise,ADULT SMALL GROUP HOME (CAPACITY 1-6),"20500 Fenton ",Detroit,WAYNE,(313) 656-7105,48219,4
AS820412467,A Servants Heart #1,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8536 Ward ",Detroit,WAYNE,(313) 659-6682,48228,6
AS730418083,A Touch Of Faith AFC Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"816 Forest St ",Saginaw,SAGINAW,(989) 501-9237,48602,4
AS440391695,"A Touch of Grace 1596, INC",ADULT SMALL GROUP HOME (CAPACITY 1-6),"1596 Ru-Lane Drive ",Lapeer,LAPEER,(810) 908-1743,48446,6
AF250306261,A Touch of Home,ADULT FAMILY HOME (CAPACITY 1-6),"2376 S Long Lake Rd. ",Fenton,GENESEE,(810) 750-8273,48430,6
AM740255580,Abbottsford,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"830 Johnstone Street ",Port Huron,ST. CLAIR,(810) 966-9159,48060,8
AS630381646,Abby Villa,ADULT SMALL GROUP HOME (CAPACITY 1-6),"25965 Mulberry ",Southfield,OAKLAND,(248) 632-3534,48034,6
AM470406331,"Abel Care, LLC",ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"51 Endicott Rd. ",Howell,LIVINGSTON,(734) 558-0829,48843,8
AM090079854,Abet AFC Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"2561 N. Garfield ",Pinconning,BAY,(989) 879-5655,48650,12
AS820409068,Ability Integrated Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"11411 Kennebec Street ",Detroit,WAYNE,(313) 355-6251,48205,5
AS820404774,Ability Integrated Care I,ADULT SMALL GROUP HOME (CAPACITY 1-6),"514 Goldengate ",Highland Park,WAYNE,(248) 702-7205,48203,6
AF110310997,ABI's AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"201 S. Main St. ",Berrien Springs,BERRIEN,(269) 471-3029,49103,6
AS630288437,Able Manor,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5221 Westview ",Clarkston,OAKLAND,(248) 599-9407,48346,6
AS820418043,Abney Group Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"34717 Pardo Street ",Westland,WAYNE,(313) 274-0044,48185,4
AS630419680,Abound Rehabilitation Services - Aberdeen Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"28537 Aberdeen St. ",Southfield,OAKLAND,(248) 997-7372,48076,6
AS630418986,Abound Rehabilitation Services - Murray Crescent,ADULT SMALL GROUP HOME (CAPACITY 1-6),"29361 Murray Crescent Dr ",Southfield,OAKLAND,(248) 232-6588,48076,6
AS820415601,Abound Rehabilitation Services-Lincoln Park,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1374 Chandler St ",Lincoln Park,WAYNE,(313) 395-2686,48146,6
AS410409367,Above & Beyond Care 2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2215 Bentbrook Ct SE ",Kentwood,KENT,(616) 246-1144,49508,6
AS410311728,Above and Beyond Care LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3287 Stormy Creek Dr. SE ",Kentwood,KENT,(508) 203-0654,49512,6
AS500094382,Abraham CLF,ADULT SMALL GROUP HOME (CAPACITY 1-6),"57728 Abraham ",Washington Township,MACOMB,(734) 408-0112,48094,6
AS630394140,Absolute 4,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5790 Farmington Rd ",West Bloomfield,OAKLAND,(248) 252-6310,48322,6
AS390406091,Academy Assisted Living,ADULT SMALL GROUP HOME (CAPACITY 1-6),"735 Academy St. ",Kalamazoo,KALAMAZOO,(269) 414-8013,49007,6
AM410311939,Achieving Independence AFC LLC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"4280 Burlingame SW ",Wyoming,KENT,(616) 724-4758,49509,12
AS410419049,Ada Grace,ADULT SMALL GROUP HOME (CAPACITY 1-6),"855 Maplehill Ave SE ",Ada,KENT,(574) 276-8612,49301,6
AS370011271,Adams Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"208 S. Adams Street ",Mount Pleasant,ISABELLA,(989) 317-8717,48858,6
AL190357883,"Addie's Acres, LLC",ADULT LARGE GROUP HOME (CAPACITY 13-20),"11633 Wood Road ",DeWitt,CLINTON,(517) 410-1197,48820,20
AH630365890,Addington Place of Clarkston,HOMES FOR THE AGED,"5700 Water Tower Pl ",Clarkston,OAKLAND,(248) 625-0500,48346,72
AL630365575,Addington Place of Clarkston 1,ADULT LARGE GROUP HOME (CAPACITY 13-20),"5900 Water Tower Pl ",Clarkston,OAKLAND,(248) 625-0500,48346,20
AL630365576,Addington Place of Clarkston 2,ADULT LARGE GROUP HOME (CAPACITY 13-20),"5800 Water Tower Pl ",Clarkston,OAKLAND,(248) 625-0500,48346,20
AL030006860,Addington Place of LakeSide Vista Amsterdam Haus,ADULT LARGE GROUP HOME (CAPACITY 13-20),"340 West 40th Street ",Holland,ALLEGAN,(616) 394-0302,49423,20
AL030006862,Addington Place of LakeSide Vista Delph Haus,ADULT LARGE GROUP HOME (CAPACITY 13-20),"344 West 40th Street ",Holland,ALLEGAN,(616) 394-0302,49423,20
AL030016016,Addington Place of LakeSide Vista Friesland Haus,ADULT LARGE GROUP HOME (CAPACITY 13-20),"346 West 40th Street ",Holland,ALLEGAN,(616) 394-0302,49423,20
AL030006859,Addington Place of LakeSide Vista Rotterdam Haus,ADULT LARGE GROUP HOME (CAPACITY 13-20),"340 West 40th Street ",Holland,ALLEGAN,(616) 394-0302,49423,20
AL030084491,Addington Place of LakeSide Vista Zeeland Haus,ADULT LARGE GROUP HOME (CAPACITY 13-20),"346 West 40th Street ",Holland,ALLEGAN,(616) 394-0302,49423,20
AH820378951,Addington Place of Northville,HOMES FOR THE AGED,"42010 W Seven Mile Road ",Northville,WAYNE,(248) 305-9600,48167,80
AS630400957,Addison-Oaks Manor,ADULT SMALL GROUP HOME (CAPACITY 1-6),"597 Kline Rd ",Oakland,OAKLAND,(248) 212-3579,48363,6
AS390401567,Adella's Place,ADULT SMALL GROUP HOME (CAPACITY 1-6),"924 N. Westnege ",Kalamazoo,KALAMAZOO,(269) 348-4375,49007,6
AS410414579,Adia AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3981 Wedgewood Dr SW ",Wyoming,KENT,(616) 856-0163,49519,6
AS130418881,Admiral Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"91 Christy Dr ",Battle Creek,CALHOUN,(269) 300-5799,49015,6
AS820014230,Admiralty,ADULT SMALL GROUP HOME (CAPACITY 1-6),"7377 Admiralty ",Canton,WAYNE,(734) 455-0001,48187,4
AS630411702,Adored Living of Clarkston,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5111 Heath Ave. ",Clarkston,OAKLAND,(248) 931-9009,48346,6
AS820013836,Advance Care #2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6047 6051 Carnegie ",Romulus,WAYNE,(734) 728-1161,48174,6
AS800315037,Advanced Adult Foster Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"202 Corwin Meadows Drive ",Lawrence,VAN BUREN,(269) 674-3051,49064,5
AS630386128,Advanced Care AFC Home LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8696 Crosby Lake Rd ",Clarkston,OAKLAND,(313) 549-2708,48346,6
AF500408263,Advent Residential Care,ADULT FAMILY HOME (CAPACITY 1-6),"26039 Thomas Street ",Warren,MACOMB,(586) 999-8460,48091,4
AS500416420,Advent Residential Care 2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4652 Torrington Dr. ",Sterling Heights,MACOMB,(586) 991-9622,48310,6
AS800382668,Affinity - Meadowbrook,ADULT SMALL GROUP HOME (CAPACITY 1-6),"430 Bangor Road ",Lawrence,VAN BUREN,(268) 539-4150,49064,6
AS800237410,Affinity - Woodhenge,ADULT SMALL GROUP HOME (CAPACITY 1-6),"48288 22nd Street ",Mattawan,VAN BUREN,(269) 668-2143,49071,6
AS030369567,Affinity-Fieldscape,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2035 108th Avenue ",Otsego,ALLEGAN,(269) 694-1404,49078,6
AF750379842,Agape AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"10014 M 216 ",Marcellus,ST. JOSEPH,(269) 646-0870,49067,6
AS790088128,Agape Care Systems Inc.,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3060 Van Geisen Road ",Caro,TUSCOLA,(989) 673-7360,48723,6
AL610304298,Agape Home At Blueberry Fields,ADULT LARGE GROUP HOME (CAPACITY 13-20),"4747 E. Mount Garfield Rd ",Fruitport,MUSKEGON,(231) 865-3400,49415,18
AS340091489,Agape House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"246 E. Main Street ",Ionia,IONIA,(616) 527-0465,48846,6
AM730262697,Agnes Rambo,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"4845 Shattuck ",Saginaw,SAGINAW,(989) 799-4129,48603,8
AS030308931,Agnus Dei AFC Home II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1292 42nd Street ",Allegan,ALLEGAN,(269) 673-6941,49010,6
AM030393581,Agnus Dei AFC Home III,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"3445 115th Avenue ",Allegan,ALLEGAN,(269) 355-1009,49010,8
AS800287287,Agnus Dei AFC Home Inc.,ADULT SMALL GROUP HOME (CAPACITY 1-6),"37139 County Road 390 ",Gobles,VAN BUREN,(269) 521-6041,49055,6
AM120413630,Agnus Dei AFC Home IV,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"738 East Grant ",Bronson,BRANCH,(517) 858-1027,49028,8
AS030417396,Agnus Dei AFC Home V,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2221 63rd Street ",Fennville,ALLEGAN,(269) 686-8212,49408,6
AS630418218,Ahava Elderly Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1722 Ashstan Dr. ",Walled Lake,OAKLAND,(248) 760-6543,48390,6
AS630418282,Ahava Elite,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5650 Greer Rd. ",West Bloomfield,OAKLAND,(248) 760-6543,48324,6
AS630418219,Ahava of Bloomfield Hills,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1694 W. Long Lake Rd ",Bloomfield Hills,OAKLAND,(248) 760-6543,48302,6
AS630410571,Ahava of White Lake,ADULT SMALL GROUP HOME (CAPACITY 1-6),"760 Robar Circle ",White Lake,OAKLAND,(248) 860-3101,48324,6
AS630418808,Ahava Prestige,ADULT SMALL GROUP HOME (CAPACITY 1-6),"27550 W 10 Mile Rd ",Farmington Hills,OAKLAND,(248) 760-6543,48336,6
AS630418220,Ahava Residential Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"26135 Drake Rd. ",Farmington Hills,OAKLAND,(248) 760-6543,48331,6
AS630377608,Ahava Senior Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1825 Hiller Road ",West Bloomfield,OAKLAND,(248) 760-6543,48324,6
AS630401755,Ahava Senior Living,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5670 Greer Rd ",West Bloomfield,OAKLAND,(248) 760-6543,48324,6
AL700397726,AHSL Holland Bay Pointe,ADULT LARGE GROUP HOME (CAPACITY 13-20),"11899 James Street ",Holland,OTTAWA,(616) 393-2174,49423,20
AL700397730,AHSL Holland Beachside,ADULT LARGE GROUP HOME (CAPACITY 13-20),"11821 James Street ",Holland,OTTAWA,(616) 392-1007,49423,20
AL700397732,AHSL Holland Boardwalk,ADULT LARGE GROUP HOME (CAPACITY 13-20),"11909 James Street ",Holland,OTTAWA,(616) 393-2174,49423,20
AL700397733,AHSL Holland Driftwood,ADULT LARGE GROUP HOME (CAPACITY 13-20),"11907 James Street ",Holland,OTTAWA,(616) 393-2174,49423,20
AL700397724,AHSL Holland Lakeshore,ADULT LARGE GROUP HOME (CAPACITY 13-20),"11911 James Street ",Holland,OTTAWA,(616) 393-2174,49423,20
AL700397734,AHSL Holland Lighthouse,ADULT LARGE GROUP HOME (CAPACITY 13-20),"11905 James Street ",Holland,OTTAWA,(616) 393-2174,49423,20
AL700397749,AHSL Jenison Beechwood,ADULT LARGE GROUP HOME (CAPACITY 13-20),"935 Oak Crest Lane ",Jenison,OTTAWA,(616) 432-2112,49428,20
AL700397747,AHSL Jenison Cottonwood,ADULT LARGE GROUP HOME (CAPACITY 13-20),"834 Oak Crest Lane ",Jenison,OTTAWA,(616) 457-3576,49428,20
AL700397745,AHSL Jenison Maplewood,ADULT LARGE GROUP HOME (CAPACITY 13-20),"887 Oak Crest Lane ",Jenison,OTTAWA,(616) 457-3576,49428,20
AL700397748,AHSL Jenison Sandalwood,ADULT LARGE GROUP HOME (CAPACITY 13-20),"861 Oak Crest Lane ",Jenison,OTTAWA,(616) 457-3576,49428,20
AL700397744,AHSL Spring Lake Pebblebrook,ADULT LARGE GROUP HOME (CAPACITY 13-20),"17387 Oak Crest Parkway ",Spring Lake,OTTAWA,(616) 844-2880,49456,20
AL700397741,AHSL Spring Lake Stoneybrook,ADULT LARGE GROUP HOME (CAPACITY 13-20),"17393 Oak Crest Parkway ",Spring Lake,OTTAWA,(616) 844-2880,49456,20
AL700397742,AHSL Spring Lake Timberbrook,ADULT LARGE GROUP HOME (CAPACITY 13-20),"17383 Oak Crest Parkway ",Spring Lake,OTTAWA,(616) 844-2880,49456,20
AL700397743,AHSL Spring Lake Willowbrook,ADULT LARGE GROUP HOME (CAPACITY 13-20),"17379 Oak Crest Parkway ",Spring Lake,OTTAWA,(616) 844-2880,49456,20
AS820386195,Aiello Adult Foster Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"26071 Denning Rd ",New Boston,WAYNE,(734) 680-4216,48164,6
AS410418633,Aimante AFC 2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6255 S Lenter Ct ",Caledonia,KENT,(616) 954-5568,49316,6
AF410411580,Aimante Family Assistance,ADULT FAMILY HOME (CAPACITY 1-6),"345 Alewa Dr Nw ",Grand Rapids,KENT,(616) 954-5568,49504,4
AS820386977,Akwaaba House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2633 Calvert ",Detroit,WAYNE,(313) 826-7411,48206,5
AS820396692,Akwaaba House II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2635 Calvert ",Detroit,WAYNE,(313) 399-2563,48206,6
AS390291227,Alamo,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2725 Alamo Ave. ",Kalamazoo,KALAMAZOO,(269) 492-1438,49006,6
AS630276214,Aleardi's Place of West Bloomfield I,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6385 E. Norma Lee ",West Bloomfield,OAKLAND,(248) 788-0829,48301,6
AF110360803,Alex AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"706 Hickory Street ",Niles,BERRIEN,(269) 340-5959,49120,6
AS820293943,Alexandria Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"30101 Grandview ",Inkster,WAYNE,(734) 365-4707,48141,5
AL410384527,Alger Heights - North,ADULT LARGE GROUP HOME (CAPACITY 13-20),"1015 28th St. SE ",Grand Rapids,KENT,(616) 608-3708,49548,17
AS410300112,Algoma Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2690 Wiersma ",Cedar Springs,KENT,(616) 696-3035,49319,6
AS630395183,Algonquin Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4785 Algonquin ",West Bloomfield,OAKLAND,(248) 403-1006,48324,6
AL580015492,Alice Lorraine Care Center,ADULT LARGE GROUP HOME (CAPACITY 13-20),"2590 N. Monroe Street ",Monroe,MONROE,(734) 243-4000,48161,20
AL580382350,Alice Lorraine Care Center - 2,ADULT LARGE GROUP HOME (CAPACITY 13-20),"2590 N. Monroe Street ",Monroe,MONROE,(734) 243-4000,48162,18
AS410316526,Alima Home AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"547 60th Street ",Kentwood,KENT,(616) 827-9902,49548,6
AS460338821,All Care @Life's Junction,ADULT SMALL GROUP HOME (CAPACITY 1-6),"113 LaFayette Street ",Hudson,LENAWEE,(517) 306-6187,49247,6
AF630418184,All in All Care of Michigan,ADULT FAMILY HOME (CAPACITY 1-6),"2200 S. Commerce Rd. ",Walled Lake,OAKLAND,(810) 588-2695,48390,6
AS820385859,All Love Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"28529 PARKWOOD ST ",INKSTER,WAYNE,(734) 895-8469,48141,6
AF760291782,All Stars Home Care DM,ADULT FAMILY HOME (CAPACITY 1-6),"175 Margaret St ",Sandusky,SANILAC,(810) 837-1915,48471,6
AM030014749,Allegan Enrichment Center #1,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"427 Davis Street ",Allegan,ALLEGAN,(269) 673-2488,49010,12
AM800015739,Allegan Enrichment Center #3,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"122 E. Delaware Street ",Decatur,VAN BUREN,(269) 423-7892,49045,12
AS030392651,Allegan Enrichment Center II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"312 Trowbridge Street ",Allegan,ALLEGAN,(269) 355-1575,49010,6
AH820409060,Allegria Village,HOMES FOR THE AGED,"15101 Ford Road ",Dearborn,WAYNE,(313) 584-1000,48126,132
AS390066803,Almena Drive AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"10280 Almena Drive ",Kalamazoo,KALAMAZOO,(269) 372-1389,49009,6
AS630333837,Almond Lane,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6443 Almond Lane ",Clarkston,OAKLAND,(248) 620-0047,48346,5
AS060068988,Almont AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"140 Almont Street ",Standish,ARENAC,(989) 846-9648,48658,6
AS690413584,Alpine Adult CRU,ADULT SMALL GROUP HOME (CAPACITY 1-6),"118 McLouth ",Gaylord,OTSEGO,(989) 493-1451,49735,6
AL410095346,Alpine Grove,ADULT LARGE GROUP HOME (CAPACITY 13-20),"719 N. Center Drive, NW ",Walker,KENT,(616) 647-2595,49544,15
AS520300046,ALS Wright,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1803 Wright St. ",Marquette,MARQUETTE,(906) 273-1212,49855,6
AS630012619,Alta Vista,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3361 Alta Vista ",Milford,OAKLAND,(248) 685-8216,48380,5
AS820341954,Alternative Adult Residence Inc,ADULT SMALL GROUP HOME (CAPACITY 1-6),"18403 Kentucky ",Detroit,WAYNE,(313) 270-7112,48221,5
AS820288859,Alternative Adult Residence LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19163 Woodingham ",Detroit,WAYNE,(313) 864-5120,48221,6
AS090418009,ALYSSUM HOUSE BY AMERICAN ANGELS,ADULT SMALL GROUP HOME (CAPACITY 1-6),"805 W. Midland Road ",Auburn,BAY,(989) 266-3170,48611,6
AS820406563,Amagine AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19491 Beaverland St. ",Detroit,WAYNE,(734) 578-7693,48219,4
AS610012230,Amanda CLF,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4021 Amanda Street ",Muskegon,MUSKEGON,(231) 557-8308,49444-4368,6
AS410418206,Amani 2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4750 Southstone Dr Se ",Kentwood,KENT,(616) 594-6924,49508,6
AS410406351,Amani AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4797 Millhaven Dr Se ",Kentwood,KENT,(616) 594-6924,49548,5
AF390418996,Amare Home Care,ADULT FAMILY HOME (CAPACITY 1-6),"1414 N Edwards ",Kalamazoo,KALAMAZOO,(269) 993-5108,49007,3
AS030418816,Amazing Center,ADULT SMALL GROUP HOME (CAPACITY 1-6),"441 Voyager Drive ",Wayland,ALLEGAN,(518) 763-9618,49348,6
AM590355381,Amazing Grace AFC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"11400 Coral Road ",Coral,MONTCALM,(231) 354-6564,49322,12
AS390380564,"Amazing Grace Home, LLC",ADULT SMALL GROUP HOME (CAPACITY 1-6),"4441 Old Colony Road ",Kalamazoo,KALAMAZOO,(269) 312-8858,49008,6
AS630379219,Ambrosia Villa,ADULT SMALL GROUP HOME (CAPACITY 1-6),"27136 Delton St. ",Madison Heights,OAKLAND,(248) 207-6511,48071,6
AS630302438,Ambrosia Villa Beverly Hills,ADULT SMALL GROUP HOME (CAPACITY 1-6),"20799 Kennoway Circle ",Beverly Hills,OAKLAND,(248) 207-6511,48025,6
AS630296212,Ambrosia Villa Bloomfield,ADULT SMALL GROUP HOME (CAPACITY 1-6),"721 Ivy Ln. ",Bloomfield,OAKLAND,(248) 207-6511,48304,6
AS630314738,Ambrosia Villa Rochester Hills,ADULT SMALL GROUP HOME (CAPACITY 1-6),"597 Dakota Court ",Rochester Hills,OAKLAND,(248) 207-6511,48307,6
AS410417331,Amelia AFC Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1854 Glenvale DR SW ",Wyoming,KENT,(616) 202-4975,49519,6
AS250278187,Ameno Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5452 Ameno Lane ",Swartz Creek,GENESEE,(810) 655-4215,48473-8884,6
AS820280757,Amen's Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"9014 Rockland ",Redford,WAYNE,(313) 937-2776,48239,6
AF700015790,American Homestead,ADULT FAMILY HOME (CAPACITY 1-6),"9339 Oriole Drive ",Coopersville,OTTAWA,(616) 350-6092,49404,4
AH820397738,American House Grosse Pointe Cottage,HOMES FOR THE AGED,Ste 1600 161 Kercheval Ave,Grosse Pointe Farms,WAYNE,(313) 939-2631,48236,77
AH630398529,American House Hampton Village,HOMES FOR THE AGED,"1775 S. Rochester Rd ",Rochester Hills,OAKLAND,(248) 266-0356,48307,105
AH500409733,American House Lakeshore,HOMES FOR THE AGED,"28801 Jefferson Ave ",St Clair Shores,MACOMB,(586) 218-6228,48081,27
AH500397563,American House Roseville,HOMES FOR THE AGED,"17267 Common Road ",Roseville,MACOMB,(586) 933-1593,48066,50
AH630398531,American House Somerset,HOMES FOR THE AGED,"3400 Livernois Rd ",Troy,OAKLAND,(248) 528-8001,48083,103
AL250415454,Americana Seniors 1 Suite B,ADULT LARGE GROUP HOME (CAPACITY 13-20),Suite B 432 E. Clark,Davison,GENESEE,(616) 308-6915,48423,20
AL250415455,Americana Seniors 2 Suite A,ADULT LARGE GROUP HOME (CAPACITY 13-20),"432 E. Clark ",Davison,GENESEE,(616) 308-6915,48423,20
AM110369574,Ammu's,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"124 Elm Street ",Niles,BERRIEN,(269) 876-7212,49120,12
AS630418307,Amor Novi,ADULT SMALL GROUP HOME (CAPACITY 1-6),"41600 Borchart Dr. ",Novi,OAKLAND,(248) 986-4546,48375,6
AS410418746,Ample Residential,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1164 Forest Hill Ave SE ",Grand Rapids,KENT,(612) 402-0013,49546,6
AF440388856,Amys Angels,ADULT FAMILY HOME (CAPACITY 1-6),"4980 Piersonville Rd ",Columbiaville,LAPEER,(810) 406-0442,48421,4
AS630409562,Amy's Place Senior Home Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"41346 LLorac Lane ",Northville,OAKLAND,(248) 767-1595,48167,6
