OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,Number of Licensed Beds,x,y
11279,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-FOOTHILLS,205 BUD NALLEY DR,EASLEY,SC,29642,864-859-3367,"FRYAR, LESLIE PH#: 864-859-3367",LESLIE.ANZALONE@PRESCOMM.ORG,LESLIE.FRYAR@PRESCOMM.ORG,CRC-1030 / 07/31/2026,Pickens / Non-Profit Corporation,,,,,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,52,359009.045,3851687.15
11281,BROAD CREEK CARE CENTER ASSISTED LIVING,801 LEMON GRASS CT,HILTON HEAD ISLAND,SC,29928-3022,843-341-7300,"FRIEDEL, MICHAEL PH#: 843-341-7202",MFRIEDEL@VILIVING.COM,,CRC-1036 / 07/31/2026,Beaufort / Corporation,71 S WACKER DR STE 900,CHICAGO,IL,60606-4610,CC-HILTON HEAD INC,N,Y,50,521180.978,3559800.324
11282,LAKES AT LITCHFIELD ASSISTED LIVING,120 LAKES AT LITCHFIELD DR,PAWLEYS ISLAND,SC,29585-5515,843-235-9393,"MASON, JOSEPH PH#: 843-235-9393",WMASON@LAKES-LITCHFIELD.COM,,CRC-1116 / 08/31/2026,Georgetown / Ltd. Liability,3530 TORINGDON WAY STE 204,CHARLOTTE,NC,28277-3436,LITCHFIELD RETIREMENT LLC,Y,Y,79,675913.78,3705554.729
11284,RICE ESTATE - ASSISTED LIVING,100 FINLEY RD,COLUMBIA,SC,29203-9264,803-691-5720,"AMODIO, DANIEL JOHN PH#: 803-691-5723",DAMODIO@RICEESTATE.ORG,DAMODIO@RICEESTATE.ORG,CRC-1075 / 03/31/2026,Richland / Non-Profit Corporation,100 FINLEY RD,COLUMBIA,SC,29203-9264,LUTHERAN HOMES OF SOUTH CAROLINA INC,N,N,40,503245.949,3774024.079
11285,WALTERS BROTHERS RESIDENTIAL CARE FACILITY INC,110 GEDDINGS RD,SUMTER,SC,29150-8812,803-506-2743,"WALTERS, JOHNNIE L., SR. PH#: 803-506-2743",JOHNNIE15@FTC-I.NET,JOHNNIE15@FTC-I.NET,CRC-1080 / 04/30/2026,Sumter / Sole Proprietorship,3300 OLD MANNING RD,SUMTER,SC,29150-9701,JOHNNIE L WALTERS,N,Y,20,559746.41,3739516.374
11286,FRANKE HOME,1885 RIFLE RANGE RD,MOUNT PLEASANT,SC,29464-9440,843-856-4700,"STOLL, SANDY A. PH#: 843-856-4705",SSTOLL@FRANKEATSEASIDE.ORG,SSTOLL@FRANKEATSEASIDE.ORG,CRC-1082 / 09/30/2026,Charleston / Non-Profit Corporation,1885 RIFLE RANGE RD,MOUNT PLEASANT,SC,29464-9440,LUTHERAN HOMES OF SOUTH CAROLINA INC,Y,Y,86,610422.872,3632156.306
11287,KIVA LODGE,200 CLAUDE BUNDRICK RD,BLYTHEWOOD,SC,29016-9420,803-764-2761,"MCCRAY, JAMUS PH#: 803-764-2761",JAMUS.MCCRAY@SCDMH.ORG,,CRC-1092 / 07/31/2026,Richland / Corporation,1823 GADSDEN ST,COLUMBIA,SC,29201-2344,MENTAL HEALTH AMERICA OF SOUTH CAROLINA,N,N,5,507507.32,3785843.789
11288,CANTRELL'S RESIDENTIAL CARE FACILITY,124 GLADYS CT,SPARTANBURG,SC,29301-3701,864-587-1993,"WALKER, LINDA C. PH#: 864-587-1993",WYOMINGSWITZER@ICLOUD.COM,LCWALKER428@YAHOO.COM,CRC-1105 / 06/30/2026,Spartanburg / Corporation,124 GLADYS CT,SPARTANBURG,SC,29301-3701,CANTRELL'S RESIDENTIAL CARE FACILITY INC,N,N,22,410322.945,3864723.02
11290,GENERATIONS OF CHAPIN,431 E BOUNDARY ST,CHAPIN,SC,29036-8388,803-345-1911,"SLICE, TIM PH#: 803-606-9456",TIM@GENERATIONSOFCHAPIN.COM,,CRC-1128 / 10/31/2026,Lexington / Corporation,431 E BOUNDARY ST,CHAPIN,SC,29036-8388,GENERATIONS OF CHAPIN INC,N,N,56,468694.159,3780158.634
11291,SUMMIT PLACE OF ANDERSON,107 PERPETUAL SQUARE DR,ANDERSON,SC,29621-1713,864-222-9880,"ROODT, HEATHER PH#: 864-222-9880",HROODT@SONIDALIVING.COM,,CRC-1151 / 10/31/2026,Anderson / Limited Liability,107 PERPETUAL SQUARE DR,ANDERSON,SC,29621-1713,CSL SUMMIT PLACE SC LLC,Y,Y,89,350286.868,3824573.611
11293,CLEMSON DOWNS ASSISTED LIVING,500 DOWNS LOOP,CLEMSON,SC,29631-2099,864-654-1155,"HILL, JAMES A. PH#: 864-722-6149",JHILL@CLEMSONDOWNS.COM,JHILL@CLEMSONDOWNS.COM,CRC-1154 / 07/31/2026,Pickens / Corporation,500 DOWNS LOOP,CLEMSON,SC,29631-2099,CARC INC,Y,N,56,335609.105,3838566.157
11294,SEVILLE'S RESIDENTIAL CARE FACILITY,109 BENNETT LN,HAMPTON,SC,29924-1375,803-914-0105,"JENKINS, GENORA W. PH#: 803-914-0105",KAMILLE.JENKINS@GMAIL.COM,KAMILLE.JENKINS@GMAIL.COM,CRC-1178 / 08/31/2026,Hampton / Sole Proprietorship,109 BENNETT LN,HAMPTON,SC,29924-1375,GENORA W JENKINS,N,N,10,490667.142,3636801.029
11296,COTTONWOOD VILLAS,800 W CHURCH ST,BISHOPVILLE,SC,29010-1054,803-483-5100,"GAINEY, FELICIA PH#: 803-484-5303",FELICIA@PATRIOTLIVING.US,FELICIA@LAKEFIELDPROP.COM,CRC-1186 / 06/30/2026,Lee / Limited Liability,800 W CHURCH ST,BISHOPVILLE,SC,29010-1054,LAKEFIELD PROPERTIES LLC,Y,Y,85,568235.011,3787665.439
11297,SPRINGS AT SIMPSONVILLE,214 E CURTIS ST,SIMPSONVILLE,SC,29681-2622,864-962-8570,"FREEMAN, LEIGHA M. PH#: 864-421-4700",LEIGHAF@CARAVITA.COM,LEIGHA.FREEMAN@QUILLENMANORLIVING.COM,CRC-1198 / 05/31/2026,Greenville / Ltd. Liability,104 S MAIN ST STE 3,SIMPSONVILLE,SC,29681-2707,CURTIS GROUP LLC,Y,Y,89,385363.498,3844634.009
11298,CLS CARE HOME,1024 TUCKER TOWN RD,GADSDEN,SC,29052-9789,803-353-2151,"DOWDY-SPEARMAN, HELEN PH#: 803-353-2151",HEDOWDY52@AOL.COM,HEDOWDY52@AOL.COM,CRC-1200 / 06/30/2026,Richland / Sole Proprietorship,1024 TUCKER TOWN RD STE 1024A,GADSDEN,SC,29052-9789,CORA SCOTT,N,N,5,527891.728,3742203.408
11299,RENAISSANCE,19 FRANK PRESSLEY DR,DUE WEST,SC,29639,864-379-2570,"OWENS, JACQUELINE PH#: 864-379-2570",JACKIE@CHOOSERENAISSANCE.COM,,CRC-1207 / 12/31/2025,Abbeville / Corporation,PO BOX 6384,SPARTANBURG,SC,29304-6384,RENAISSANCE LLC,N,N,20,371508.049,3799632.255
11300,EDEN TERRACE OF SPARTANBURG,2780 E MAIN ST,SPARTANBURG,SC,29307-1248,864-579-7387,"HUGHES, CINDY B. PH#: 864-579-7387",CINDY.HUGHES@ARBORCOMPANY.COM,CHUGHES@ARBORCOMPANY.COM,CRC-1213 / 05/31/2026,Spartanburg / Ltd. Liability,2780 E MAIN ST,SPARTANBURG,SC,29307,BRISTOL SPARTANBURG LLC,Y,Y,140,420659.025,3871274.672
11301,BROOKWOOD COMMUNITY RESIDENCE,181 BROOKWOOD DR,BATESBURG,SC,29006-2324,803-532-4440,"DAVIS, TORRANCE PH#: 803-532-4440",TDAVIS@ORGANIZATIONALNETWORK.ORG,,CRC-0879 / 09/30/2026,Lexington / Non-Profit Corporation,2725 BANNY JONES AVE,WEST COLUMBIA,SC,29170-2109,BABCOCK CENTER INC,N,N,8,451022.288,3751695.245
11302,ROSECREST COMMUNITY RESIDENTIAL CARE,200 FORTRESS DR,INMAN,SC,29349-9160,864-599-8600,"MCCURRY, REBECCA PH#: 864-599-8600",RMCCURRY@ROSECREST.ORG,,CRC-1208 / 07/31/2026,Spartanburg / Non-Profit Corporation,200 FORTRESS DR,INMAN,SC,29349-9160,LUTHERAN HOMES OF SOUTH CAROLINA INC,Y,Y,45,406283.395,3877777.304
11303,WESLEY COMMONS ASSISTED LIVING FACILITY & SPECIAL CARE HOUSE,1110 MARSHALL RD,GREENWOOD,SC,29646-4299,864-227-7480,"DAVIS, DORIS E. PH#: 864-227-7480",DDAVIS@WESLEYCOMMONS.ORG,DDAVIS@WESLEYCOMMONS.ORG,CRC-1218 / 08/31/2026,Greenwood / Non-Profit Corporation,1110 MARSHALL RD,GREENWOOD,SC,29646-4299,WESLEY COMMONS,Y,Y,70,396090.348,3782700.873
11304,VARNVILLE COMMUNITY RESIDENCE,266 HAMPTON RD,VARNVILLE,SC,29944,803-943-4818,"MCQUIRE, ELISE S. PH#: 803-943-4818",ELISEMCQUIRE9@GMAIL.COM,ELISEMAC@HCBDSN.ORG,CRC-1211 / 05/31/2026,Hampton / ,PO BOX 128,HAMPTON,SC,29924,HAMPTON COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,492917.954,3635884.744
11305,GARDENS AT EASTSIDE,275 COMMONWEALTH DR,GREENVILLE,SC,29615-4814,864-329-1200,"FORD, JANE A. PH#: 864-329-1200",JANE.FORD@ARBORCOMPANY.COM,JFORD@ARBORCOMPANY.COM,CRC-1222 / 08/31/2026,Greenville / Ltd. Liability,275 COMMONWEALTH DR,GREENVILLE,SC,29615-4814,EASTSIDE ASSISTED LIVING LLC,Y,Y,83,379279.161,3857509.686
11306,BIRD STREET II COMMUNITY RESIDENTIAL CARE FACILITY,1711 BIRD ST,ROCK HILL,SC,29730-3830,803-366-6113,"CROUCH, KELLY M. PH#: ",KELLY.CROUCH2@MAXABILITIES.ORG,,CRC-1358 / 06/30/2026,York / ,PO BOX 549,YORK,SC,29745-0549,YORK COUNTY DISIBILITIES AND SPECIAL NEEDS BOARD,N,N,8,499934.504,3866879.981
11307,OASIS RESIDENTIAL HOME,2317 PRINCE ST,GEORGETOWN,SC,29440-2925,843-527-4848,"GRAHAM, MAZIE E. PH#: 843-527-4848",OASISINC2001@YAHOO.COM,OASISINC2001@YAHOO.COM,CRC-1219 / 08/31/2026,Georgetown / Corporation,2317 PRINCE ST,GEORGETOWN,SC,29440-2925,OASIS RESIDENTIAL HOME INC,N,N,22,657732.21,3694709.603
11308,ALEXANDER'S GOLDEN STARR COMMUNITY CARE HOME,218 GOLDEN STARR RD,SANTEE,SC,29142-9363,803-854-2496,"OUTLAW-THOMAS, DONNA S. PH#: 803-854-2496",DONNAOUTLAW62@YAHOO.COM,DONNAOUTLAW62@YAHOO.COM,CRC-0171 / 08/31/2026,Orangeburg / Sole Proprietorship,PO BOX 405,SANTEE,SC,29142-0405,DONNA OUTLAW-THOMAS,N,N,8,545388.512,3700763.821
11309,UPSTATE RESIDENTIAL CARE,1302 S MCDUFFIE ST,ANDERSON,SC,29624-2745,864-225-6901,"ALEXANDER, HORACE PH#: 864-225-6901",HORACEALEXANDER@MYLASOUNDS.COM,HORACEALEXANDER@MYLASOUNDS.COM,CRC-0233 / 08/31/2026,Anderson / Limited Liability Limited Partnership,1302 S MCDUFFIE ST,ANDERSON,SC,29624-0036,UPSTATE RESIDENTIAL CARE LLC,N,N,10,348815.295,3818080.989
11310,BTU REST HOME,113 ELLISON ST,BENNETTSVILLE,SC,29512-0352,843-479-9053,"CAIN, MICHAEL PH#: 803-528-3371",MICHAELCAIN94@AOL.COM,MICHAELCAIN94@AOL.COM,CRC-0235 / 09/30/2026,Marlboro / Corporation,PO BOX 352,BENNETTSVILLE,SC,29512-0352,BTU REST HOME INC,N,N,80,619166.439,3830265.827
11311,BOSTICK'S ADULT RESIDENTIAL CARE FACILITY,1912 DUKE ST,BEAUFORT,SC,29902-4404,843-524-3906,"BURNS, WANDA BOSTICK PH#: 843-524-3906",BARCF1@GMAIL.COM,WRBOSTICK@YAHOO.COM,CRC-0143 / 05/31/2026,Beaufort / Limited Liability,,,,,BOSTICK S ADULT RESIDENTIAL CARE FACILITY LLC,N,N,20,529711.566,3588806.087
11314,FAMILY RESIDENTIAL CARE HOME I,21 EDWARDS ST,SUMTER,SC,29150-4808,803-757-1032,"WALTERS, MICHAEL A. PH#: 803-775-9555",TWRG32@YAHOO.COM,TWRG32@YAHOO.COM,CRC-1233 / 02/28/2026,Sumter / Sole Proprietorship,PO BOX 562,SUMTER,SC,29151-0562,MICHAEL A WALTERS,N,N,5,559806.835,3753363.352
11315,REID'S RESIDENTIAL CARE FACILITY,726 OLD SPARTANBURG HWY,WELLFORD,SC,29385-9668,864-439-9238,"DANIELS, JUDY C. PH#: 864-439-9238",ADMIN@REIDSRCF.COM,ADMIN@REIDSRCF.COM,CRC-0771 / 05/31/2026,Spartanburg / Sole Proprietorship,726 OLD SPARTANBURG HWY,WELLFORD,SC,29385-9668,JUDY DANIELS,N,N,23,399215.718,3867626.751
11316,ROUSE COMMUNITY CARE HOME #1,102 BALLENTON RD,COLUMBIA,SC,29203-9073,803-724-2820,"ROUSE, CHARLENE E. PH#: 803-788-1753",MATRICEROUSE@GMAIL.COM,MATRICEROUSE@GMAIL.COM,CRC-0327 / 12/31/2025,Richland / Corporation,PO BOX 134,STATE PARK,SC,29147-0134,ROUSE COMMUNITY CARE HOME INC,N,N,8,503585.605,3774316.187
11317,ROUSE COMMUNITY CARE HOME #3,9316 WILSON BLVD,COLUMBIA,SC,29203-9769,803-754-5720,"ROUSE, CHARLENE E. PH#: 803-754-5720",MATRICEROUSE@AOL.COM,MATRICEROUSE@AOL.COM,CRC-0238 / 09/30/2026,Richland / Corporation,PO BOX 134,STATE PARK,SC,29147-0134,ROUSE COMMUNITY CARE HOME INC,N,N,10,500757.573,3776426.822
11318,MIDWAY RESIDENTIAL CARE FACILITY #1,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,864-433-8999,"WALKER, LINDA C. PH#: 864-433-8999",MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0318 / 12/31/2025,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,13,402750.228,3860842.788
11319,MIDWAY RESIDENTIAL CARE FACILITY #1A,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,864-433-8999,"WALKER, LINDA C. PH#: 864-433-8999",MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0320 / 12/31/2025,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,14,402750.228,3860842.788
