OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Number of Licensed Beds,x,y
10877,OAKS,108 N PINCKNEY ST,TIMMONSVILLE,SC,29161-1449,843-667-5007,"BRADLEY, MARY PH#: 843-667-5007",ERICA.CRAWFORD@DDSN.SC.GOV,MBRADLEY@FCDSN.ORG,MR15-0128 / 09/30/2026,Florence / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,597244.186,3777407.277
10878,DUPONT I HABILITATION CENTER,127 DUPONT DR NW,AIKEN,SC,29801,803-642-1046,"HALL, MICHAEL B. PH#: 803-642-8800",ERICA.CRAWFORD@DDSN.SC.GOV,MHALL@AIKENTDC.ORG,MR15-0141 / 07/31/2026,Aiken / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,433996.803,3715438.022
10879,DUPONT II HABILITATION CENTER,129 DUPONT DR NW,AIKEN,SC,29801,803-642-1046,"HALL, MICHAEL B. PH#: 803-642-8800",ERICA.CRAWFORD@DDSN.SC.GOV,MHALL@AIKENTDC.ORG,MR15-0142 / 07/31/2026,Aiken / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,433949.033,3715436.875
10880,WEST MAIN STREET COMMUNITY RESIDENCE,1317 W MAIN ST,UNION,SC,29379-2659,864-427-7700,"HOPKINS, SHANDALE PH#: 864-427-7700",ERICA.CRAWFORD@DDSN.SC.GOV,SHOPKINS@UNIONDSN.ORG,MR15-0140 / 07/31/2026,Union / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,441028.004,3840562.729
10881,KINGS COMMUNITY RESIDENCE,611 KINGS RD,ORANGEBURG,SC,29115-3861,803-536-1170,"STEWARD, VONDA PH#: 803-536-1170",ERICA.CRAWFORD@DDSN.SC.GOV,VSTEWARD@OCDSNB.ORG,MR15-0152 / 02/28/2026,Orangeburg / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,515645.074,3708032.057
10882,NANCE COMMUNITY RESIDENCE,980 NANCE ST,ORANGEBURG,SC,29115-3070,803-536-1170,"STEWARD, VONDA PH#: 803-536-1170",ERICA.CRAWFORD@DDSN.SC.GOV,VSTEWARD@OCDSNB.ORG,MR15-0153 / 02/28/2026,Orangeburg / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,515016.392,3708577.742
10883,JOHNSONVILLE HAMPTON PLACE COMMUNITY RESIDENCE,333 S HAMPTON AVE,JOHNSONVILLE,SC,29555,843-667-5007,"HYMAN, MARY W. PH#: 843-667-5007",MHYMAN@FCDSN.ORG,MHYMAN@FCDSN.ORG,MR15-0161 / 11/30/2026,Florence / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,643715.167,3742331.389
10884,J CLAUDE FORT COMMUNITY RESIDENCE BUILDING II,818 W MONTGOMERY ST,GAFFNEY,SC,29341-1753,864-487-4190,"HENDERSON, SYREETA PH#: 864-487-4190",SHENDERSON@CHEROKEEDSNB.ORG,SHENDERSON@CHEROKEEDSNB.ORG,MR15-0092 / 11/30/2026,Cherokee / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,439850.908,3881657.361
10885,ACADEMY STREET COMMUNITY RESIDENCE,241 ACADEMY ST,WILLISTON,SC,29853,803-266-7833,"WASHINGTON, MARY L. PH#: 803-259-7472",ERICA.CRAWFORD@DDSN.SC.GOV,DIRECTOROFRES@BARNWELLSC.COM,MR15-0177 / 06/30/2026,Barnwell / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,461046.109,3696367.416
10886,ARCHIE DRIVE GROUP HOME,33 ARCHIE DR,COLUMBIA,SC,29223-5813,803-799-1970,"WROTEN, RHONDA PH#: 803-708-4861",ERICA.CRAWFORD@DDSN.SC.GOV,RWROTEN@BABCOCKCENTER.ORG,MR15-0178 / 06/30/2026,Richland / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,506052.603,3773076.768
10887,ATKINSON EAST COMMUNITY RESIDENCE,13 KENDRICK ST,SUMTER,SC,29150-5224,803-778-1669,"ALSTON-TERRELL, KELLY PH#: 803-778-1669",ERICA.CRAWFORD@DDSNSC.GOV,KTERRELL@SCDSNB.ORG,MR15-0179 / 06/30/2026,Sumter / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,9,561113.996,3753309.954
10889,BATESBURG GROUP HOME,132 PINEWOOD DR,BATESBURG,SC,29006-2329,803-799-1970,"EVANS, KASATRA PH#: 803-642-8800",ERICA.CRAWFORD@DDSNSC.GOV,KEVANS@BABCOCKCENTER.ORG,MR15-0181 / 06/30/2026,Lexington / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,451061.206,3752088.635
10892,BRUTON SMITH ROAD GROUP HOME,139 BRUTON SMITH RD,LEXINGTON,SC,29072,803-359-1350,"WARD, DELORIS PH#: 803-359-1350",ERICA.CRAWFORD@DDSN.SC.GOV,DWARD@BURTONCENTER.ORG,MR15-0185 / 06/30/2026,Lexington / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,475507.276,3760365.489
10896,CARTER STREET GROUP HOME,1203 CARTER ST,COLUMBIA,SC,29204-2852,803-799-1970,"WROTEN, RHONDA PH#: 803-708-4861",ERICA.CRAWFORD@DDSN.SC.GOV,RWROTEN@BABCOCKCENTER.ORG,MR15-0193 / 06/30/2026,Richland / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,500223.179,3766433.582
10897,FLORENCE GRESSETTE RESIDENCE,402 MILLIGAN CIR,SAINT MATTHEWS,SC,29135-9422,803-874-2664,"WILLIAMS, STEPHANIE PH#: 864-969-4927",ERICA.CRAWFORD@DDSN.SC.GOV,SWILLIAMS@CALHOUNDSNB.ORG,MR15-0196 / 06/30/2026,Calhoun / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,520415.343,3725980.429
10898,FOUNTAIN INN COMMUNITY RESIDENCE,105 OLD FAIRVIEW RD,FOUNTAIN INN,SC,29644-1822,864-288-1907,"HOPKINS, SHANNON PH#: 864-288-1907",AMANDA.STONE@THRIVEUPSTATE.ORG,,MR15-0197 / 06/30/2026,Greenville / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,12,389280.437,3839170.006
10900,HARLEY ROAD COMMUNITY RESIDENCE,226 HARLEY RD,WILLISTON,SC,29853,803-266-3450,"WASHINGTON, MARY L. PH#: 803-259-7472",ERICA.CRAWFORD@DDSN.SC.GOV,DIRECTOROFRES@BARNWELLSC.COM,MR15-0198 / 06/30/2026,Barnwell / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,460538.109,3696443.379
10901,HENDRIX STREET GROUP HOME,425 HENDRIX ST,LEXINGTON,SC,29072,864-942-8900,"WARD, DELORIS PH#: 864-942-8900",ERICA.CRAWFORD@DDSN.SC.GOV,DWARD@BURTONCENTER.ORG,MR15-0199 / 06/30/2026,Lexington / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,477212.294,3760202.319
10902,HORRELL HILL COMMUNITY RESIDENCE,1614 RIDGE RD,HOPKINS,SC,29061,803-799-1970,"STEVENS, CAMILA PH#: 803-799-1970",ERICA.CRAWFORD@DDSN.SC.GOV,CSTEVENS@BABCOCKCENTER.ORG,MR15-0200 / 06/30/2026,Richland / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,514190.251,3758051.267
10903,HUGHES STREET COMMUNITY RESIDENCE,104 HUGHES ST,FOUNTAIN INN,SC,29644-2110,864-679-0220,"HOPKINS, SHANNON PH#: 864-288-1907",AMANDA.STONE@THRIVEUPSTATE.ORG,,MR15-0201 / 06/30/2026,Greenville / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,390947.009,3839740.409
10906,JOHN A REAGAN RESIDENCE,1100 E CAROLINA AVE ,HARTSVILLE,SC,29550,843-332-7252,"BLOCKER, RUTH PH#: 843-332-7252",ERICA.CRAWFORD@DDSN.SC.GOV,RBLOCKER@DCDSNB.ORG,MR15-0204 / 06/30/2026,Darlington / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,587418.59,3804683.197
10907,EDGEFIELD COMMUNITY RESIDENCE,811 HILLCREST ST,EDGEFIELD,SC,29824,803-637-5385,"DANSBY, LAKENDRA PH#: 803-637-5385",ERICA.CRAWFORD@DDSN.SC.GOV,,MR15-0139 / 07/31/2026,Edgefield / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,414020.578,3738508.13
10909,LAURENS STREET ICF/IID,728 LAURENS ST NW,AIKEN,SC,29801,803-226-0199,"HALL, MICHAEL B. PH#: 803-226-0199",ERICA.CRAWFORD@DDSN.SC.GOV,MHALL@AIKENTDC.ORG,MR15-0207 / 06/30/2026,Aiken / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,433153.912,3715217.424
10910,ATKINSON WEST COMMUNITY RESIDENCE,162 COMMUNITY DR,SUMTER,SC,29150-3316,803-775-9466,"ALSTON-TERRELL, KELLY PH#: 803-778-1669",ERICA.CRAWFORD@DDSN.SC.GOV,KTERRELL@SCDSNB.ORG,MR15-0180 / 06/30/2026,Sumter / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,9,558586.137,3755156.234
10911,LEMON PARK COMMUNITY RESIDENCE,95 LEMON PARK DR,BARNWELL,SC,29812,803-259-1682,"WASHINGTON, MARY L. PH#: 803-259-7472",ERICA.CRAWFORD@DDSN.SC.GOV,DIRECTOROFRES@BARNWELLSC.COM,MR15-0208 / 06/30/2026,Barnwell / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,467359.295,3678414.396
10913,MCLEOD I GROUP HOME,808 MCLEOD RD,BISHOPVILLE,SC,29010-1100,803-484-9473,"PARNELL, WENDY W. PH#: 803-484-9473",ERICA.CRAWFORD@DDSN.SC.GOV,WPARNELL@LCDSN.ORG,MR15-0210 / 06/30/2026,Lee / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,568523.267,3787729.23
10914,MCLEOD II GROUP HOME,814 MCLEOD RD,BISHOPVILLE,SC,29010-1100,803-484-9473,"PARNELL, WENDY W. PH#: 803-484-9473",ERICA.CRAWFORD@DDSN.SC.GOV,WPARNELL@LCDSN.ORG,MR15-0211 / 06/30/2026,Lee / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,568487.891,3787762.995
10915,NAZARETH ROAD COMMUNITY RESIDENCE,1118 NAZARETH RD,LEXINGTON,SC,29073,864-942-8900,"REESE, SHARON PH#: 864-942-8900",ERICA.CRAWFORD@DDSN.SC.GOV,SREESE@BURTONCENTER.ORG,MR15-0213 / 06/30/2026,Lexington / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,477185.033,3754101.904
10917,CLINTON MANOR COMMUNITY RESIDENCE,101 CLINTON MANOR DR,CLINTON,SC,29360,864-682-2314,"STONE-SMITH, MICHELLE PH#: 803-924-3839",ERICA.CRAWFORD@DDSN.SC.GOV,MSTONESMITH@LCDSNB.ORG,MR15-0194 / 06/30/2026,Laurens / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,416576.933,3814303.061
10918,PARSONS I GROUP HOME,711 PARSONS RD,SUMMERVILLE,SC,29483-3359,843-871-1285,"BROWN, STEPHAINE PH#: ",STEPHANIE.BROWN@DORCHESTERDSNB.ORG,,MR15-0215 / 06/30/2026,Dorchester / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,574282.699,3653338.446
10919,PARSONS II GROUP HOME,707 PARSONS RD,SUMMERVILLE,SC,29483-3359,843-871-1285,"BROWN, STEPHAINE PH#: ",STEPHANIE.BROWN@DORCHESTERDSNB.ORG,,MR15-0216 / 06/30/2026,Dorchester / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,574277.534,3653386.557
10920,RABBIT RUN COMMUNITY RESIDENCE,1114 RABBIT RUN RD,HOPKINS,SC,29061,803-799-1970,"STEVENS, CAMILA PH#: 803-799-1970",ERICA.CRAWFORD@DDSN.SC.GOV,CSTEVENS@BABCOCKCENTER.ORG,MR15-0217 / 06/30/2026,Richland / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,510480.757,3757343.016
10921,LINDEN STREET ICF/IID,136 LINDEN ST,AIKEN,SC,29801-3759,803-642-1053,"HALL, MICHAEL B. PH#: 803-642-1053",ERICA.CRAWFORD@DDSN.SC.GOV,MHALL@AIKENTDC.ORG,MR15-0209 / 06/30/2026,Aiken / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,431872.454,3714136.317
10922,SIFLY COMMUNITY RESIDENCE,171 WANNAMAKER ST,ORANGEBURG,SC,29115-5073,803-536-1170,"STEWARD, VONDA PH#: 803-536-1170",ERICA.CRAWFORD@DDSN.SC.GOV,VSTEWARD@OCDSNB.ORG,MR15-0219 / 06/30/2026,Orangeburg / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,513327.555,3706772.695
10923,SULLIVAN STREET COMMUNITY RESIDENCE,503 SULLIVAN ST,LAURENS,SC,29360-3449,864-984-6394,"STONE-SMITH, MICHELLE PH#: 803-924-3839",ERICA.CRAWFORD@DDSN.SC.GOV,MSTONESMITH@LCDSNB.ORG,MR15-0221 / 06/30/2026,Laurens / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,407005.409,3817497.566
10924,TRAVELERS REST COMMUNITY RESIDENCE,252 LITTLE TEXAS RD,TRAVELERS REST,SC,29690,864-288-1907,"STONE, AMANDA PH#: 864-288-1907",ERICA.CRAWFORD@DDSN.SC.GOV,AMANDA.STONE@THRIVEUPSTATE.ORG,MR15-0222 / 06/30/2026,Greenville / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,369413.848,3869332.841
10925,WANNAMAKER STREET COMMUNITY RESIDENCE,250 WANNAMAKER ST,ORANGEBURG,SC,29115-5067,803-536-1170,"STEWARD, VONDA PH#: 803-536-1170",ERICA.CRAWFORD@DDSN.SC.GOV,VSTEWARD@OCDSNB.ORG,MR15-0223 / 06/30/2026,Orangeburg / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,513273.436,3706827.989
10926,WILLIAM W BOWEN RESIDENCE,1045 STONERIDGE AVE ,HARTSVILLE,SC,29550,843-951-0141,"BLOCKER, RUTH PH#: 843-332-7252",ERICA.CRAWFORD@DDSN.SC.GOV,RBLOCKER@DCDSNB.ORG,MR15-0224 / 06/30/2026,Darlington / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,587348.78,3804517.176
10927,WIRE ROAD COMMUNITY RESIDENCE I,935 WIRE RD UNIT A,GILBERT,SC,29054-8976,803-874-2664,"WILLIAMS, STEPHANIE PH#: 803-874-2664",ERICA.CRAWFORD@DDSN.SC.GOV,SWILLIAMS@CALHOUNDSNB.ORG,MR15-0225 / 06/30/2026,Lexington / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,467270.476,3753600.966
10928,WIRE ROAD COMMUNITY RESIDENCE II,935 WIRE RD UNIT B,GILBERT,SC,29054-8976,803-874-2664,"WILLIAMS, STEPHANIE PH#: 803-874-2664",ERICA.CRAWFORD@DDSN.SC.GOV,SWILLIAMS@CALHOUNDSNB.ORG,MR15-0226 / 06/30/2026,Lexington / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,467270.476,3753600.966
10929,WYLIE BRUNSON RESIDENCE,88 SUNFLOWER RD,SAINT MATTHEWS,SC,29135-8423,803-874-2664,"WILLIAMS, STEPHANIE PH#: 803-874-2664",ERICA.CRAWFORD@DDSN.SC.GOV,SWILLIAMS@CALHOUNDSNB.ORG,MR15-0228 / 06/30/2026,Calhoun / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,520424.326,3726126.74
10930,FLORENCE COMMUNITY RESIDENCE,511 CLYDE ST,FLORENCE,SC,29506-3011,843-667-5007,"HYMAN, MARY W. PH#: 843-667-5007",ERICA.CRAWFORD@DDSN.SC.GOV,MHYMAN@FCDSN.ORG,MR15-0025 / 03/31/2026,Florence / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,614436.305,3783614.341
10931,J CLAUDE FORT COMMUNITY RESIDENCE BUILDING I,816 W MONTGOMERY ST,GAFFNEY,SC,29341-1753,864-487-4190,"HENDERSON, SYREETA PH#: 864-487-4190",SHENDERSON@CHEROKEEDSNB.ORG,SHENDERSON@CHEROKEEDSNB.ORG,MR15-0091 / 11/30/2026,Cherokee / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,439813.406,3881685.651
10932,CEDARS,123 W FIFTH AVE,PAMPLICO,SC,29583,843-667-5007,"HYMAN, MARY E. PH#: 803-641-7670",MHYMAN@FCDSN.ORG,MHYMAN@FCDSN.ORG,MR15-0127 / 08/31/2026,Florence / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,631834.827,3762702.081
10934,WOODLAWN GROUP HOME,1400 WOODLAWN DR,COLUMBIA,SC,29209,803-799-1970,"STEVENS, CAMILA PH#: 803-799-1970",ERICA.CRAWFORD@DDSN.SC.GOV,CSTEVENS@BABCOCKCENTER.ORG,MR15-0227 / 06/30/2026,Richland / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,503904.578,3761063.735
