OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Care,Alzheimer Unit,NH Beds,Institutional NH Beds,Number of Licensed Beds,x,y
11049,NHC HEALTHCARE NORTH AUGUSTA,350 AUSTIN GRAYBILL RD,NORTH AUGUSTA,SC,29841,803-278-4272,"TROXEL-HARBIN, HOLLY PH#: 803-278-4272",HOLLY.HARBIN@NHCCARE.COM,HOLLY.HARBIN@NHCCARE.COM,NCF-0799 / 06/30/2026,Aiken / Ltd. Liability,350 AUSTIN GRAYBILL RD,NORTH AUGUSTA,SC,29841,NHC HEALTHCARE/NORTH AUGUSTA LLC,N,N,192,0,192,411437.235,3712790.73
11050,ELLEN SAGAR NURSING CENTER,1817 JONESVILLE HWY,UNION,SC,29379-9793,864-301-3500,"SCHAPER, ANNETTE PH#: 864-301-3504",ASCHAPER@SRHS.COM,ASCHAPER@SRHS.COM,NCF-0217 / 07/31/2026,Union / District,1817 JONESVILLE HWY,UNION,SC,29379-9793,SPARTANBURG REGIONAL HEALTH SERVICES DISTRICT INC,N,N,113,0,113,441362.366,3847170.286
11051,PRUITTHEALTH - PICKENS,163 LOVE AND CARE RD,SIX MILE,SC,29682-9569,864-868-2307,"NAUSS, NATHANIEL PH#: 864-513-4105",LEGALSERVICES@PRUITTHEALTH.COM,,NCF-0580 / 04/30/2026,Pickens / Limited Liability,163 LOVE AND CARE RD,SIX MILE,SC,29682-9569,PRUITTHEALTH - PICKENS LLC,N,N,44,0,44,331813.898,3856439.068
11052,J F HAWKINS NURSING HOME,1330 KINARD ST,NEWBERRY,SC,29108-3096,803-276-2601,"RANSDELL, TY L. PH#: 803-276-2601",TRANSDELL@NEWBERRYCCRC.COM,TRANSDELL@NEWBERRYCCRC.COM,NCF-0234 / 02/28/2026,Newberry / Limited Liability,1330 KINARD ST,NEWBERRY,SC,29108-3096,NEWBERRY OPERATOR LLC,Y,Y,118,0,118,444270.219,3793935.492
11053,JOHN EDWARD HARTER NURSING CENTER,185 REVOLUTIONARY TRL,FAIRFAX,SC,29827-7105,803-632-3334,"GOODING, GENE L. PH#: 803-632-5742",LARIG@ACHOSPITAL.ORG,LARIG@ACHOSPITAL.ORG,NCF-0259 / 04/30/2026,Allendale / County,PO BOX 218,FAIRFAX,SC,29827-0218,ALLENDALE COUNTY HOSPITAL BOARD OF TRUSTEES,N,N,44,0,44,476749.012,3647538.968
11054,LANCASTER HEALTH AND REHABILITATION,2044 PAGELAND HWY,LANCASTER,SC,29720-7608,803-285-7907, PH#: ,KAT.LANTZ@FUNDLTC.COM,,NCF-0551 / 02/28/2026,Lancaster / Corporation,2044 PAGELAND HWY,LANCASTER,SC,29720-7608,LANCASTER HEALTH CARE LLC,N,N,142,0,142,525631.838,3842100.22
11055,NHC HEALTHCARE LAURENS,379 PINEHAVEN ST EXT,LAURENS,SC,29360-2672,864-984-6584,"SHEARER, RICKIE L. PH#: 864-984-6584",RICKIE.SHEARER@NHCCARE.COM,RICKIE.SHEARER@NHCCARE.COM,NCF-0326 / 06/30/2026,Laurens / Ltd. Liability,379 PINEHAVEN ST EXT,LAURENS,SC,29360-2672,NHC HEALTHCARE/LAURENS LLC,Y,N,176,0,176,405176.751,3816551.68
11056,MARTHA FRANKS BAPTIST RETIREMENT COMMUNITY,1 MARTHA FRANKS DR,LAURENS,SC,29360-1799,864-984-4541,"KNIGHT, KATIE PH#: 864-984-4541",AP@SCBMA.COM,,NCF-0435 / 03/31/2026,Laurens / Non-Profit Corporation,1 MARTHA FRANKS DR,LAURENS,SC,29360-1799,SOUTH CAROLINA BAPTIST MINISTRIES FOR THE AGING INC,Y,Y,81,7,88,405846.533,3818078.143
11057,MOUNTAINVIEW NURSING HOME,340 CEDAR SPRINGS RD,SPARTANBURG,SC,29302-4697,864-582-4175,"DILLARD, WILSON K. PH#: 864-582-4175",WDILLARD@MOUNTAINVIEWNH.COM,WDILLARD@MOUNTAINVIEWNH.COM,NCF-0149 / 06/30/2026,Spartanburg / Corporation,340 CEDAR SPRINGS RD,SPARTANBURG,SC,29302-4697,COMMUNITY SERVICES FOR THE AGING INC,N,N,132,0,132,418865.54,3863175.043
11058,NHC HEALTHCARE SUMTER,1018 N GUIGNARD DR,SUMTER,SC,29150-2423,803-773-5567,"CROTTS, JEANIE S. PH#: 803-773-5567",JEANIE.CROTTS@NHCCARE.COM,JEANIE.CROTTS@NHCCARE.COM,NCF-0471 / 01/31/2026,Sumter / Corporation,1018 N GUIGNARD DR,SUMTER,SC,29150-2423,NATIONAL HEALTH CORPORATION,N,N,138,0,138,557400.839,3756199.54
11060,FRASER HEALTH CARE,300 WOODHAVEN DR,HILTON HEAD ISLAND,SC,29928-4682,843-842-3747,"KLEIN, STEPHANIE PH#: 843-842-3747",SKLEIN@THESEABROOK.COM,,NCF-0414 / 09/30/2026,Beaufort / Non-Profit Corporation,300 WOODHAVEN DR,HILTON HEAD ISLAND,SC,29928-4682,SEABROOK OF HILTON HEAD INC,N,N,19,14,33,522228.355,3557073.127
11061,WESLEY COMMONS HEALTH AND REHABILITATION CENTER,1075 BYPASS 25 SE,GREENWOOD,SC,29646,864-227-7250,"HOLMES MOODY, KIMBERLY K. PH#: 864-227-7250",KMOODY@WESLEYCOMMONS.ORG,KMOODY@WESLEYCOMMONS.ORG,NCF-0304 / 03/31/2026,Greenwood / Non-Profit Corporation,1110 MARSHALL RD,GREENWOOD,SC,29646-4299,WESLEY COMMONS,N,N,80,0,80,395708.367,3782459.655
11062,CLEMSON AREA RETIREMENT CENTER-HEALTH CARE CENTER,500 DOWNS LOOP,CLEMSON,SC,29630,864-654-1155,"HILL, JAMES A. PH#: 864-722-6149",WANDAPALMER@CLEMSONDOWNS.COM,JHILL@CLEMSONDOWNS.COM,NCF-0391 / 10/31/2026,Pickens / Corporation,500 DOWNS LOOP,CLEMSON,SC,29631-2099,CARC INC,Y,N,68,,68,335466.546,3838782.394
11063,NHC HEALTHCARE CLINTON,304 JACOBS HWY,CLINTON,SC,29325-7279,864-833-2550,"HOLDER, CHARLES E. PH#: 864-833-2550",CHUCK.HOLDER@NHCCARE.COM,CHUCK.HOLDER@NHCCARE.COM,NCF-0804 / 06/30/2026,Laurens / Ltd. Liability,304 JACOBS HWY,CLINTON,SC,29325,NHC HEALTHCARE/CLINTON LLC,N,N,131,0,131,419560.572,3812486.675
11067,PRUITTHEALTH-ORANGEBURG,755 WHITMAN ST SE,ORANGEBURG,SC,29115-6163,803-534-7036,"RUTLAND, DEBORAH PH#: 803-534-7036",DRUTLAND@PRUITTHEALTH.COM,DRUTLAND@PRUITTHEALTH.COM,NCF-0617 / 09/30/2026,Orangeburg / Limited Liability,755 WHITMAN ST SE,ORANGEBURG,SC,29115-6163,PRUITTHEALTH-ORANGEBURG LLC,N,N,88,0,88,513660.835,3705825.05
11068,WESTMINSTER HEALTH AND REHABILITATION CENTER,831 MCDOW DR,ROCK HILL,SC,29732-2415,803-326-3100,"BATTY, MELISSA PH#: 803-328-5121",MBATTY@WESTMINSTERTOWERS.ORG,,NCF-0819 / 08/31/2026,York / Non-Profit Corporation,831 MCDOW DR,ROCK HILL,SC,29732-2415,WESTMINSTER PRESBYTERIAN CENTER INC,N,N,44,0,44,497441.43,3867826.59
11069,CALHOUN CONVALESCENT CENTER,601 DANTZLER ST,SAINT MATTHEWS,SC,29135-1522,803-655-7101,"PAULINE, ANGELA K. PH#: 803-755-7621",ANGELA.PAULINE@FUNDLTC.COM,,NCF-0505 / 02/28/2026,Calhoun / Corporation,601 DANTZLER ST,SAINT MATTHEWS,SC,29135-1522,SAINT MATTHEWS HEALTH CARE LLC,N,N,120,0,120,521547.399,3724286.01
11070,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-COLUMBIA,700 DAVEGA DR,LEXINGTON,SC,29073-9698,803-796-8700,"ROBBINS, CINDY PH#: 843-879-0325",MEREDITH.HUGHES@PRESCOMM.ORG,CINDY.ROBBINS@PRESCOMM.ORG,NCF-0545 / 12/31/2025,Lexington / Non-Profit Corporation,700 DAVEGA DR,LEXINGTON,SC,29073-9698,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,N,N,44,0,44,488058.619,3764659.791
11071,LAKE MARION HEALTH AND REHAB,1527 URBANA RD,SUMMERTON,SC,29148-8929,803-485-2317,"MILES, ANETTE C. PH#: 803-485-2317",MSTANLEY@SOUTHERNSENIORLIVING.COM,AMILES@CLARENDONLTC.ORG,NCF-0736 / 01/31/2026,Clarendon / District,PO BOX 57,MANNING,SC,29102-0057,CLARENDON HOSPITAL DISTRICT,N,N,88,0,88,558847.058,3719910.777
11072,REHAB CENTER OF CHERAW,1150 STATE RD,CHERAW,SC,29520-2048,843-537-2060,"FINCANNON, CARLES PH#: 864-445-4686",C.FINCANNON@FUNDLTC.COM,,NCF-0552 / 02/28/2026,Chesterfield / Limited Liability,1150 STATE RD,CHERAW,SC,29520-2048,REHAB CENTER OF CHERAW LLC,N,N,104,0,104,598828.256,3840703.508
11074,NHC HEALTHCARE GARDEN CITY,9405 HWY 17 BYP,MURRELLS INLET,SC,29576-9301,843-650-2213,"SELLARS, ALEX LEVI PH#: 843-650-2213",ALEX.SELLARS@NHCCARE.COM,ALEX.SELLARS@NHCCARE.COM,NCF-0825 / 10/31/2026,Horry / Ltd. Liability,PO BOX 309,MURRELLS INLET,SC,29576-0309,NHC HEALTHCARE/GARDEN CITY LLC,N,N,148,0,148,683854.24,3719606.685
11075,BISHOP GADSDEN-GADSDEN GLEN CENTER FOR HEALTH AND REHAB,8000 NOBLE OAK WAY,CHARLESTON,SC,29412-3500,843-406-6252,"COOK, JONNA PH#: 843-406-6252",JONNA.COOK@BISHOPGADSDEN.ORG,JONNA.COOK@BISHOPGADSDEN.ORG,NCF-0577 / 04/30/2026,Charleston / Non-Profit Corporation,1 BISHOP GADSDEN WAY,CHARLESTON,SC,29412-3506,BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,N,N,91,9,100,595620.751,3622187.459
11076,METHODIST MANOR HEALTHCARE CENTER,2100 TWIN CHURCH RD,FLORENCE,SC,29501-8200,843-664-0700,"REICH, TERESSA L. PH#: 843-664-0700",TREICH@THEMANORSENIORLIVING.COM,TREICH@THEMANORSENIORLIVING.COM,NCF-0579 / 09/30/2026,Florence / Non-Profit Corporation,2100 TWIN CHURCH RD,FLORENCE,SC,29501-8200,UNITED METHODIST MANOR OF THE PEE DEE,N,N,0,32,32,605098.991,3779544.633
11077,LIFE CARE CENTER OF COLUMBIA,2514 FARAWAY DR,COLUMBIA,SC,29223-3969,803-865-1999,"FOWLER, WANDA PH#: 803-439-7760",CONTACT_COLUMBIASC@LCCA.COM,,NCF-0634 / 06/30/2026,Richland / Corporation,2514 FARAWAY DR,COLUMBIA,SC,29223-3969,RCM-COLUMBIA INC,N,N,179,0,179,508101.506,3769611.513
11078,PRUITTHEALTH-RIDGEWAY,213 TANGLEWOOD CT,RIDGEWAY,SC,29130-7100,803-337-3211,"PHILLIPS, KAREN PH#: 803-337-3211",LEGALSERVICES@PRUITTHEALTH.COM,KPHILLIPS@PRUITTHEALTH.COM,NCF-0710 / 10/31/2026,Fairfield / Limited Liability,213 TANGLEWOOD CT,RIDGEWAY,SC,29130-7100,PRUITTHEALTH-RIDGEWAY LLC,Y,Y,150,0,150,503199.128,3795671.955
11079,RICE ESTATE REHABILITATION AND HEALTHCARE,100 FINLEY RD,COLUMBIA,SC,29203-9264,803-691-5720,"AMODIO, DANIEL JOHN PH#: 803-691-5723",DAMODIO@RICEESTATE.ORG,DAMODIO@RICEESTATE.ORG,NCF-0831 / 05/31/2026,Richland / Non-Profit Corporation,100 FINLEY RD,COLUMBIA,SC,29203-9264,LUTHERAN HOMES OF SOUTH CAROLINA INC,N,N,80,0,80,503245.949,3774024.079
11080,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-SUMMERVILLE,201 W 9TH NORTH ST,SUMMERVILLE,SC,29483-6721,843-873-2553,"SIDES, VICKI ANN PH#: 803-655-7101",ELIZABETH.KING@PRESCOMM.ORG,V.SIDES@FUNDLTC.COM,NCF-0202 / 04/30/2026,Dorchester / Non-Profit Corporation,201 W 9TH NORTH ST OFC 140,SUMMERVILLE,SC,29483-6701,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,N,N,88,,88,577537.351,3655293.479
11081,PRUITTHEALTH - DILLON,413 LAKESIDE CT,DILLON,SC,29536-1926,843-774-2741,"CAMPBELL, CELESTE PH#: 843-774-2741",CCAMPBELL@PRUITTHEALTH.COM,CCAMPBELL@PRUITTHEALTH.COM,NCF-0835 / 11/30/2026,Dillon / Ltd. Liability,413 LAKESIDE CT,DILLON,SC,29536-1926,PRUITTHEALTH - DILLON LLC,N,N,84,0,84,651281.255,3811232.058
11082,MAGNOLIA MANOR-INMAN,63 BLACKSTOCK RD,INMAN,SC,29349-1849,864-472-9055,"FLATHMANN, RUSTY PH#: 864-472-9055",ROBIN.GOODMAN@FUNDLTC.COM,RUSTY.FLATHMANN@FUNDLTC.COM,NCF-0863 / 08/31/2026,Spartanburg / Ltd. Liability,63 BLACKSTOCK RD,INMAN,SC,29349-1849,THI OF SOUTH CAROLINA AT MAGNOLIA MANOR-INMAN LLC,N,N,176,0,176,400606.888,3877741.351
11083,MAGNOLIA MANOR-GREENVILLE,411 ANSEL ST,GREENVILLE,SC,29601-3499,864-232-5368,"BRYANT, TONYA PH#: 864-992-3883",TONYA.BRYANT0536@FUNDLTC.COM,TONYA.BRYANT0536@FUNDLTC.COM,NCF-0860 / 08/31/2026,Greenville / Ltd. Liability,411 ANSEL ST,GREENVILLE,SC,29601-3499,THI OF SOUTH CAROLINA AT GREENVILLE LLC,N,N,99,0,99,370869.996,3856098.134
11084,MAGNOLIA MANOR-ROCK HILL,127 MURRAH DR,ROCK HILL,SC,29732-2390,803-328-6518,"MCLAURIN, NANKINA PH#: 803-328-6518",F.OEHLER@FUNDLTC.COM,,NCF-0859 / 08/31/2026,York / Ltd. Liability,127 MURRAH DR,ROCK HILL,SC,29732-2390,THI OF SOUTH CAROLINA AT ROCK HILL LLC,N,N,106,0,106,496523.158,3866982.066
11085,PHYSICAL REHABILITATION AND WELLNESS CENTER OF SPARTANBURG,8020 WHITE AVE,SPARTANBURG,SC,29303-2099,864-381-6401,"CLEMENTS, ANDY PH#: 803-432-9742",A.CLEMENTS@FUNDLTC.COM,,NCF-0861 / 08/31/2026,Spartanburg / Ltd. Liability,8020 WHITE AVE,SPARTANBURG,SC,29303-2099,THI OF SOUTH CAROLINA AT MAGNOLIA PLACE AT SPARTANBURG LLC,N,N,120,0,120,412112.101,3871268.972
11086,LAKE EMORY POST ACUTE CARE,59 BLACKSTOCK RD,INMAN,SC,29349-1827,864-472-2028,"VICKERY, PENNY H. PH#: 803-209-5537",PENNY.VICKERY0532@FUNDLTC.COM,,NCF-0862 / 08/31/2026,Spartanburg / Ltd. Liability,59 BLACKSTOCK RD,INMAN,SC,29349-1827,THI OF SOUTH CAROLINA AT CAMP CARE LLC,N,N,88,0,88,400604.658,3877861.899
11087,MAGNOLIA MANOR-SPARTANBURG,375 SERPENTINE DR,SPARTANBURG,SC,29303-3026,864-585-0218,"SHERBERT, ANGELA PH#: 864-472-9055",ANGIE.SHERBERT0541@FUNDLTC.COM,ANGELA.SHERBERT0538@FUNDLTC.COM,NCF-0867 / 08/31/2026,Spartanburg / Ltd. Liability,375 SERPENTINE DR,SPARTANBURG,SC,29303-3026,THI OF SOUTH CAROLINA AT SPARTANBURG LLC,N,N,95,0,95,414396.913,3869590.912
11088,MIDLANDS HEALTH & REHABILITATION CENTER,1007 N KINGS ST,COLUMBIA,SC,29223-1916,803-699-4111,"LANTZ, KAITE PH#: ",CHRISTINE.WILLIAMS0535@FUNDLTC.COM,,NCF-0868 / 08/31/2026,Richland / Ltd. Liability,1007 N KINGS ST,COLUMBIA,SC,29223-1916,THI OF SOUTH CAROLINA AT COLUMBIA LLC,N,N,88,0,88,506123.006,3771206.317
11089,SOUTHPOINTE HEALTHCARE AND REHABILITATION,35 SOUTHPOINTE DR,GREENVILLE,SC,29607-5956,864-288-1415,"MCCLURE, CAROL PH#: 864-288-1415",CAROL.MCCLURE@FUNDLTC.COM,,NCF-0869 / 08/31/2026,Greenville / Ltd. Liability,35 SOUTHPOINTE DR,GREENVILLE,SC,29607-5956,THI OF SOUTH CAROLINA AT MAGNOLIA PLACE AT GREENVILLE LLC,N,N,120,0,120,384349.369,3853257.458
11090,LAKES AT LITCHFIELD SKILLED NURSING CENTER,80 TIMBERVIEW CT,PAWLEYS ISLAND,SC,29585-5798,843-235-9393,"CANTLEY-CLARK, TAMMY PH#: 843-235-9393",LICENSING@LAKES-LITCHFIELD.COM,,NCF-0843 / 12/31/2026,Georgetown / Ltd. Liability,120 LAKES AT LITCHFIELD DR,GREENVILLE,SC,29607,LITCHFIELD RETIREMENT LLC,N,N,17,7,24,675996.864,3705657.285
11091,MAGNOLIA MANOR-GREENWOOD,1415 PKWY,GREENWOOD,SC,29646-4044,864-227-9500,"GOFORTH, EDITH C. PH#: 864-227-9500",EDITH.GOFORTH@FUNDLTC.COM,EDITH.GOFORTH@FUNDLTC.COM,NCF-0866 / 08/31/2026,Greenwood / Ltd. Liability,1415 PKWY,GREENWOOD,SC,29646-4044,THI OF SOUTH CAROLINA AT GREENWOOD LLC,N,N,88,0,88,393242.81,3781910.41
11092,RIVERSIDE HEALTH AND REHAB,2375 BAKER HOSPITAL BLVD,NORTH CHARLESTON,SC,29405-8291,843-744-2750,"OEHLER, JOHN FRITZ PH#: 843-681-6006",DES.DAVIS@FUNDLTC.COM,FRITZ_OEHLER@LCCA.COM,NCF-0870 / 08/31/2026,Charleston / Ltd. Liability,2375 BAKER HOSPITAL BLVD,CHARLESTON,SC,29405-8291,THI OF SOUTH CAROLINA AT CHARLESTON LLC,N,N,160,0,160,596377.936,3633941.641
11093,NHC HEALTHCARE CHARLESTON,2230 ASHLEY CROSSING DR,CHARLESTON,SC,29414-5700,843-766-5228,"BARTLETT, GREGORY T. PH#: 843-766-5228",TYLER.BARTLETT@NHCCARE.COM,TYLER.BARTLETT@NHCCARE.COM,NCF-0871 / 09/30/2026,Charleston / Limited Liability,2230 ASHLEY CROSSING DR,CHARLESTON,SC,29414-5700,NHC HEALTHCARE-CHARLESTON LLC,Y,N,132,0,132,590165.638,3631185.296
11096,VALLEY FALLS TERRACE,400 LOCUST GROVE RD,SPARTANBURG,SC,29303-4898,864-503-0377,"PAUL, KEITH ALDON PH#: ",LACEY.SMITH@FUNDLT.COM,KEITH.PAUL@FUNDLTC.COM,NCF-0495 / 02/28/2026,Spartanburg / Corporation,400 LOCUST GROVE,SPARTANBURG,SC,29303-4831,SPARTANBURG HEALTH CARE LLC,N,N,88,0,88,410081.709,3873585.548
